pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.567118167877197, 5.310418128967285, 5.5569963455200195, 5.344063758850098, 5.700525760650635, 5.577327728271484, 5.417002201080322, 5.346099853515625, 5.5627031326293945, 5.510613918304443]",5.49
1qkt,9.04,"[7.617651462554932, 7.597911834716797, 7.635433197021484, 7.661442279815674, 7.63262939453125, 7.579555988311768, 7.684014797210693, 7.654932022094727, 7.643052101135254, 7.546482563018799]",7.63
1syi,5.44,"[5.392370700836182, 5.473229885101318, 5.56491756439209, 5.437142372131348, 5.452327251434326, 5.280496597290039, 5.421773910522461, 5.493885040283203, 5.4243388175964355, 5.361262321472168]",5.43
1y6r,10.11,"[6.71807336807251, 6.7147393226623535, 6.75480842590332, 6.79326057434082, 6.674036979675293, 6.755734920501709, 6.717017650604248, 6.88810920715332, 6.678549289703369, 6.63313102722168]",6.73
1yc1,6.17,"[7.2556867599487305, 7.112273693084717, 7.115915298461914, 7.237517356872559, 7.13067626953125, 7.16494083404541, 7.2159624099731445, 7.368777275085449, 7.265848159790039, 7.080545902252197]",7.19
2v00,3.66,"[6.205308437347412, 5.860672473907471, 6.177552223205566, 5.719637870788574, 5.5745768547058105, 5.592020511627197, 5.9700469970703125, 5.969736576080322, 5.319384574890137, 6.00083065032959]",5.84
2vw5,8.52,"[7.677144527435303, 7.734852313995361, 7.7295942306518555, 7.694605827331543, 7.690372943878174, 7.6991729736328125, 7.716296672821045, 7.723623752593994, 7.670293807983398, 7.696659564971924]",7.7
2wer,7.05,"[7.478874206542969, 7.553915977478027, 7.382317066192627, 7.5668840408325195, 7.395752429962158, 7.340638160705566, 7.436157703399658, 7.408222198486328, 7.533910274505615, 7.4510908126831055]",7.45
2wnc,6.32,"[6.991483211517334, 6.938329696655273, 6.738048553466797, 7.007303714752197, 6.976249694824219, 6.960653781890869, 6.884936809539795, 6.75635290145874, 6.687625408172607, 6.98615026473999]",6.89
2wvt,6.12,"[6.460058689117432, 6.381706237792969, 6.525338172912598, 6.133406639099121, 6.6920599937438965, 6.281311511993408, 6.698306560516357, 6.615401268005371, 6.665140628814697, 6.097272872924805]",6.46
2x00,11.33,"[7.428933143615723, 7.201162338256836, 7.365492820739746, 7.289392471313477, 7.284783363342285, 7.411025524139404, 7.356251239776611, 7.24111795425415, 7.377377033233643, 7.309225082397461]",7.33
2xb8,7.59,"[6.38845682144165, 6.44976806640625, 6.4888410568237305, 6.528994083404541, 6.220541477203369, 6.0978240966796875, 6.198206424713135, 6.583174705505371, 6.370410442352295, 6.274293422698975]",6.36
2xdl,3.1,"[7.058614253997803, 6.933969020843506, 6.99863862991333, 6.587156772613525, 6.811600685119629, 7.050743579864502, 6.8428850173950195, 6.944154739379883, 6.880288600921631, 6.945837497711182]",6.91
2xii,7.2,"[7.588485240936279, 7.618722915649414, 7.54567289352417, 7.619886875152588, 7.6126790046691895, 7.667346954345703, 7.614538192749023, 7.6493754386901855, 7.6492109298706055, 7.68302059173584]",7.62
2yki,9.46,"[7.562653541564941, 7.533751964569092, 7.636068344116211, 7.6110405921936035, 7.6134209632873535, 7.498769283294678, 7.536142349243164, 7.567281246185303, 7.556203842163086, 7.587764739990234]",7.57
2ymd,3.16,"[5.409383773803711, 5.302492141723633, 5.612094879150391, 5.405879974365234, 5.365473747253418, 5.393429756164551, 5.351201057434082, 5.24954080581665, 5.537176609039307, 5.395834922790527]",5.4
3aru,3.22,"[5.820886611938477, 5.195859432220459, 5.855162143707275, 5.542751789093018, 5.4411702156066895, 5.515401840209961, 5.61064338684082, 5.371299743652344, 5.740802764892578, 5.697880268096924]",5.58
3ary,6.0,"[4.753905296325684, 4.953144073486328, 4.742190837860107, 4.874866962432861, 4.901757717132568, 5.033576488494873, 4.954524517059326, 4.808709621429443, 4.903712749481201, 4.988971710205078]",4.89
3b27,5.16,"[6.491968631744385, 6.503483772277832, 6.363412380218506, 6.372512340545654, 6.376545429229736, 6.4141845703125, 6.301730632781982, 6.365656852722168, 6.443474292755127, 6.573431968688965]",6.42
3b5r,8.77,"[7.751911163330078, 7.724066257476807, 7.723747253417969, 7.7151079177856445, 7.715604305267334, 7.729165077209473, 7.688492298126221, 7.785463809967041, 7.7181501388549805, 7.823453903198242]",7.74
3b65,9.27,"[7.573405742645264, 7.657805442810059, 7.735969543457031, 7.601507186889648, 7.62082052230835, 7.604293346405029, 7.638010501861572, 7.675464630126953, 7.571489334106445, 7.5516252517700195]",7.62
3b68,8.4,"[7.443273067474365, 7.598794937133789, 7.579853534698486, 7.528393268585205, 7.579012870788574, 7.563278675079346, 7.65639591217041, 7.471493721008301, 7.555126667022705, 7.554184913635254]",7.55
3d4z,4.89,"[6.588146209716797, 6.576951503753662, 6.744908809661865, 6.959455490112305, 6.7238264083862305, 6.644217014312744, 6.6761956214904785, 6.652329921722412, 6.968264102935791, 6.537436008453369]",6.71
3d6q,3.76,"[5.886274814605713, 5.571395397186279, 5.9637298583984375, 5.801753044128418, 5.60256814956665, 5.809128761291504, 5.990945339202881, 5.867403984069824, 5.846285820007324, 5.58557653427124]",5.79
