pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.468629837036133, 5.263710975646973, 5.424248218536377, 5.513556480407715, 5.424229621887207, 5.466159820556641, 5.201454162597656, 5.574757099151611, 5.613243103027344, 5.41694450378418]",5.44
1qkt,9.04,"[7.102447032928467, 7.103975772857666, 7.10271692276001, 7.171576023101807, 7.120558261871338, 7.124928951263428, 7.156044006347656, 7.101043224334717, 7.095976829528809, 7.100708484649658]",7.12
1syi,5.44,"[5.426293849945068, 5.490040302276611, 5.510040283203125, 5.492825984954834, 5.338738918304443, 5.565866947174072, 5.389367580413818, 5.632359504699707, 5.456450939178467, 5.367613792419434]",5.47
1y6r,10.11,"[5.9588823318481445, 5.861390113830566, 5.829804420471191, 6.188982963562012, 6.01940393447876, 5.8186140060424805, 6.070530414581299, 6.059930801391602, 6.224356651306152, 6.157774448394775]",6.02
1yc1,6.17,"[6.477382183074951, 6.381175518035889, 6.425407886505127, 6.512271881103516, 6.556440830230713, 6.525735378265381, 6.4466423988342285, 6.4876179695129395, 6.515738010406494, 6.481003284454346]",6.48
2v00,3.66,"[5.190305709838867, 5.038233280181885, 5.184871673583984, 5.088724613189697, 5.123096466064453, 4.9970197677612305, 5.278878211975098, 5.396678447723389, 4.81488037109375, 5.26081657409668]",5.14
2vw5,8.52,"[7.0612664222717285, 7.146695613861084, 6.914637088775635, 7.060380458831787, 6.9812541007995605, 6.949558734893799, 7.0380024909973145, 7.007233142852783, 7.02463960647583, 7.001760005950928]",7.02
2wer,7.05,"[6.885222434997559, 6.7057414054870605, 6.7043070793151855, 6.779652118682861, 6.695715427398682, 6.868581771850586, 6.920677185058594, 6.68701171875, 6.955270290374756, 6.738070964813232]",6.79
2wnc,6.32,"[6.521631240844727, 6.411462783813477, 6.497823715209961, 6.480563640594482, 6.346581935882568, 6.333912372589111, 6.312959671020508, 6.498919486999512, 6.313704013824463, 6.307490825653076]",6.4
2wvt,6.12,"[5.918130397796631, 5.796186447143555, 5.809626579284668, 5.629253387451172, 6.040812969207764, 5.7477521896362305, 5.6993727684021, 5.823258876800537, 5.982992649078369, 5.625020980834961]",5.81
2x00,11.33,"[6.890289306640625, 6.732656478881836, 6.856473445892334, 6.841801166534424, 6.812743663787842, 6.903813362121582, 6.83594274520874, 6.799266338348389, 6.819185256958008, 6.800416946411133]",6.83
2xb8,7.59,"[5.968353271484375, 6.0205302238464355, 5.996004104614258, 6.062807083129883, 5.903414726257324, 5.927997589111328, 5.979051113128662, 6.078954696655273, 5.934187889099121, 5.955036640167236]",5.98
2xdl,3.1,"[5.922903537750244, 5.918485164642334, 5.96786642074585, 6.0095720291137695, 5.984446048736572, 6.083151817321777, 5.943168640136719, 6.219717502593994, 6.225395679473877, 6.060898303985596]",6.03
2xii,7.2,"[6.673677921295166, 6.647921085357666, 6.666722774505615, 6.681535243988037, 6.7543535232543945, 6.594555377960205, 6.639780044555664, 6.779295921325684, 6.793184280395508, 6.607767105102539]",6.68
2yki,9.46,"[6.8408026695251465, 6.928053855895996, 6.880137920379639, 6.84567928314209, 6.848762035369873, 6.813876628875732, 7.002353668212891, 6.834470748901367, 6.917586803436279, 6.875157356262207]",6.88
2ymd,3.16,"[5.483725070953369, 5.450804233551025, 5.671630382537842, 5.768901348114014, 5.516846656799316, 5.692843914031982, 5.656909465789795, 5.537315368652344, 5.730584144592285, 5.559837818145752]",5.61
3aru,3.22,"[5.479601860046387, 5.012256622314453, 5.663980484008789, 5.552046775817871, 5.26997709274292, 5.472015380859375, 5.581958293914795, 5.266323089599609, 5.696457386016846, 5.517917156219482]",5.45
3ary,6.0,"[4.752621173858643, 4.971521854400635, 4.858044147491455, 4.925845146179199, 4.881921768188477, 5.117753982543945, 5.0905914306640625, 4.922619819641113, 4.974051475524902, 4.9846601486206055]",4.95
3b27,5.16,"[5.700169563293457, 5.850340843200684, 5.742772102355957, 5.737785816192627, 5.688055515289307, 5.680333137512207, 5.633673667907715, 5.558000087738037, 5.630867958068848, 5.7472662925720215]",5.7
3b5r,8.77,"[7.160552501678467, 7.219088554382324, 7.070779323577881, 7.243032455444336, 7.211808204650879, 7.18209981918335, 7.206308364868164, 7.1839141845703125, 7.155533313751221, 7.217564582824707]",7.19
3b65,9.27,"[7.091811656951904, 7.129281997680664, 7.181419372558594, 7.183725833892822, 7.165933609008789, 7.0856170654296875, 7.016253471374512, 7.139934539794922, 7.07930850982666, 7.175360679626465]",7.12
3b68,8.4,"[7.009474277496338, 7.111945152282715, 7.007829189300537, 6.944936752319336, 7.035686016082764, 7.011220932006836, 7.072280406951904, 6.9417290687561035, 7.011242866516113, 6.972084999084473]",7.01
3d4z,4.89,"[5.807130336761475, 5.783185005187988, 5.813003063201904, 6.065016746520996, 6.048611164093018, 5.91339635848999, 5.918443202972412, 6.027943134307861, 5.930222034454346, 5.921200275421143]",5.92
3d6q,3.76,"[5.489152908325195, 5.341361045837402, 5.615882873535156, 5.363824367523193, 5.350761890411377, 5.530886173248291, 5.392828464508057, 5.504277229309082, 5.450006008148193, 5.3471269607543945]",5.44
3dx1,3.58,"[4.622736930847168, 4.896694660186768, 4.852994918823242, 4.825342655181885, 4.647345542907715, 4.654841899871826, 4.639494895935059, 4.775737285614014, 4.638411045074463, 4.622838497161865]",4.72
3dx2,6.82,"[5.279598236083984, 5.106630802154541, 5.370264530181885, 5.11747932434082, 5.402331829071045, 5.49838399887085, 5.0759172439575195, 5.167558193206787, 4.965491771697998, 5.350947380065918]",5.23
3dxg,2.4,"[5.883175849914551, 5.594258785247803, 5.744788646697998, 5.890392303466797, 5.770226955413818, 5.840473651885986, 5.789534568786621, 5.955150127410889, 5.742326736450195, 5.778672218322754]",5.8
3ehy,5.85,"[6.242044448852539, 6.360403537750244, 6.015523433685303, 5.9991536140441895, 6.211753845214844, 5.899051189422607, 6.447576999664307, 6.244926929473877, 5.689857006072998, 6.3280510902404785]",6.14
3ejr,8.57,"[7.357483863830566, 7.2435808181762695, 7.337705612182617, 7.457738876342773, 7.253904819488525, 7.3901896476745605, 7.423214912414551, 7.344676971435547, 7.2047600746154785, 7.160444259643555]",7.32
3fcq,2.77,"[6.847014904022217, 6.91664981842041, 6.946944713592529, 6.813982009887695, 6.537015438079834, 6.916830539703369, 6.844197750091553, 6.96353816986084, 6.890037536621094, 6.817325115203857]",6.85
3g0w,9.52,"[7.083271503448486, 7.040499687194824, 7.1032233238220215, 7.118607997894287, 7.124887943267822, 7.089136123657227, 7.029597759246826, 7.09258508682251, 7.103882789611816, 7.130588054656982]",7.09
3gbb,6.9,"[5.482120990753174, 5.522808074951172, 5.612054824829102, 5.4440507888793945, 5.54121208190918, 5.558608531951904, 5.547461032867432, 5.503295421600342, 5.493202209472656, 5.515433311462402]",5.52
3gr2,2.52,"[4.650387287139893, 4.593395233154297, 4.5442705154418945, 4.531201362609863, 4.542385101318359, 4.755160808563232, 4.605719089508057, 4.658548355102539, 4.5717387199401855, 4.608955383300781]",4.61
3gv9,2.12,"[5.122523784637451, 5.004140377044678, 4.794686317443848, 4.91010856628418, 5.112972736358643, 5.0774312019348145, 4.888521671295166, 4.9455389976501465, 4.847652912139893, 5.24821662902832]",5.0
3jya,6.89,"[6.601803779602051, 6.733633995056152, 6.701399326324463, 6.452149391174316, 6.704461097717285, 6.999685764312744, 6.783560752868652, 6.765629768371582, 6.672259330749512, 6.736597061157227]",6.72
3lka,2.82,"[4.849796295166016, 4.948563575744629, 5.178915977478027, 5.161850452423096, 5.205036163330078, 5.122006416320801, 5.393694877624512, 5.085379600524902, 5.099762916564941, 5.0139594078063965]",5.11
3n76,6.85,"[6.145022392272949, 6.107120990753174, 6.0928778648376465, 6.248121738433838, 6.280101299285889, 6.24719762802124, 6.209261894226074, 6.191641330718994, 6.323250770568848, 6.216142177581787]",6.21
3n86,5.64,"[6.538755416870117, 6.584601402282715, 6.560073375701904, 6.581999778747559, 6.6174421310424805, 6.7571024894714355, 6.556250095367432, 6.496124744415283, 6.652830123901367, 6.564916133880615]",6.59
3nq9,4.03,"[6.684246063232422, 6.66087007522583, 6.582221508026123, 6.3835129737854, 6.616447448730469, 6.666709899902344, 6.624505996704102, 6.785852432250977, 6.670947074890137, 6.702638149261475]",6.64
3nx7,8.1,"[6.450545787811279, 6.416654109954834, 6.526716709136963, 6.262940883636475, 6.455936431884766, 6.231202125549316, 6.345519065856934, 6.060525417327881, 6.430330276489258, 6.46309757232666]",6.36
3o9i,11.82,"[8.709650993347168, 8.656706809997559, 8.4818115234375, 8.530926704406738, 8.415849685668945, 8.384435653686523, 8.863384246826172, 8.764951705932617, 8.462909698486328, 8.744389533996582]",8.6
3ozs,5.33,"[5.568393707275391, 5.264284133911133, 5.7869791984558105, 5.158313751220703, 5.262341499328613, 5.356627464294434, 6.059408664703369, 5.011203289031982, 6.038410663604736, 6.0865888595581055]",5.56
3ozt,4.13,"[6.323375225067139, 6.0486884117126465, 6.266162395477295, 6.412038326263428, 6.334680557250977, 6.324212551116943, 6.515659809112549, 6.6171770095825195, 6.544128894805908, 6.179866313934326]",6.36
3p5o,7.26,"[6.109598636627197, 6.104449272155762, 6.019678592681885, 6.19698429107666, 6.168408393859863, 6.2024922370910645, 6.124727725982666, 6.1660614013671875, 6.1498942375183105, 6.06299352645874]",6.13
3prs,7.82,"[7.3651652336120605, 6.515602111816406, 7.055751323699951, 7.4120869636535645, 7.502964496612549, 6.598862171173096, 6.7592267990112305, 6.999087333679199, 7.0937180519104, 7.379093170166016]",7.07
3pww,7.32,"[6.804610252380371, 6.715182304382324, 7.035821437835693, 6.957054138183594, 6.58132791519165, 7.019253730773926, 6.799501419067383, 6.849092960357666, 6.866709232330322, 7.004220485687256]",6.86
