pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.65094518661499, 5.830437660217285, 6.495210647583008, 4.956982612609863, 5.26434326171875, 4.686520576477051, 4.126797676086426, 5.651230812072754, 5.422415733337402, 5.002982139587402]",5.31
1qkt,9.04,"[6.693033218383789, 6.524768352508545, 6.48405647277832, 6.401688575744629, 6.592499256134033, 6.5301103591918945, 6.686506748199463, 6.317406177520752, 6.562289237976074, 6.3790740966796875]",6.52
1syi,5.44,"[4.23046875, 4.398432731628418, 4.7805986404418945, 4.465359210968018, 4.860672950744629, 4.219889163970947, 4.790975570678711, 5.391767501831055, 4.879744529724121, 4.557182788848877]",4.66
1y6r,10.11,"[7.665841579437256, 7.639342784881592, 7.420450687408447, 7.753601551055908, 7.649545192718506, 7.372485637664795, 7.605193614959717, 7.63868522644043, 7.54766321182251, 7.580463409423828]",7.59
1yc1,6.17,"[7.122021198272705, 7.0420074462890625, 6.919827938079834, 7.034057140350342, 7.202081203460693, 7.164641857147217, 7.0873212814331055, 7.128323554992676, 7.170948028564453, 7.096007823944092]",7.1
2v00,3.66,"[5.769875526428223, 5.718017101287842, 5.77485466003418, 5.6337080001831055, 5.654200077056885, 5.633266448974609, 5.883349418640137, 5.964260101318359, 5.603608131408691, 5.730615615844727]",5.74
2vw5,8.52,"[6.916688442230225, 6.987927436828613, 7.052954196929932, 7.015073299407959, 7.102515697479248, 6.87437629699707, 7.0200982093811035, 7.010653018951416, 6.996859073638916, 6.9366655349731445]",6.99
2wer,7.05,"[6.749863147735596, 6.839269161224365, 6.756639003753662, 6.831669330596924, 6.677438735961914, 6.871535301208496, 6.841841697692871, 6.687451362609863, 6.989222049713135, 6.693694114685059]",6.79
2wnc,6.32,"[5.96106481552124, 5.98759126663208, 5.829277992248535, 6.0134663581848145, 6.044299125671387, 5.887624263763428, 5.90493106842041, 5.970291614532471, 5.952417373657227, 5.9155073165893555]",5.95
2wvt,6.12,"[5.299445629119873, 5.1857476234436035, 4.838476181030273, 5.316915512084961, 4.707638263702393, 5.287067890167236, 5.207030773162842, 5.195800304412842, 4.753537178039551, 5.26258659362793]",5.11
2x00,11.33,"[7.264525890350342, 7.354672908782959, 7.3935418128967285, 7.4155402183532715, 7.307133674621582, 7.373084545135498, 7.36718225479126, 7.278383255004883, 7.508950233459473, 7.363251686096191]",7.36
2xb8,7.59,"[6.734631538391113, 6.779151916503906, 7.266657829284668, 6.778525352478027, 7.024287700653076, 7.154724597930908, 7.208415985107422, 7.0175909996032715, 7.242025375366211, 6.802525997161865]",7.0
2xdl,3.1,"[4.045872211456299, 3.966186046600342, 4.017469882965088, 4.047183990478516, 4.022676467895508, 4.000061988830566, 3.9633755683898926, 4.040166854858398, 4.061045169830322, 4.053829669952393]",4.02
2xii,7.2,"[7.003685474395752, 6.946835517883301, 6.917238712310791, 6.932522773742676, 6.943360805511475, 7.047101974487305, 6.918834209442139, 6.919292449951172, 6.802761554718018, 7.07769250869751]",6.95
2yki,9.46,"[7.9979963302612305, 8.114086151123047, 8.097771644592285, 8.055997848510742, 8.003730773925781, 8.16487979888916, 8.105436325073242, 7.977116584777832, 8.069775581359863, 8.143938064575195]",8.07
2ymd,3.16,"[5.43383264541626, 5.676143169403076, 5.531752586364746, 5.59628438949585, 5.59613561630249, 5.472002983093262, 5.627001762390137, 5.535393238067627, 5.348941326141357, 5.648227214813232]",5.55
3aru,3.22,"[3.9486403465270996, 4.046950817108154, 3.988837957382202, 4.050401210784912, 4.091477870941162, 3.975576877593994, 3.9900450706481934, 4.048380374908447, 4.0565266609191895, 4.124298095703125]",4.03
3ary,6.0,"[6.349832534790039, 6.3135786056518555, 6.391202926635742, 6.386721134185791, 6.403155326843262, 6.102848052978516, 6.307236671447754, 6.304064750671387, 6.310995578765869, 6.273501396179199]",6.31
3b27,5.16,"[5.149990081787109, 5.174270153045654, 5.26915168762207, 4.981314182281494, 5.1400065422058105, 5.396736145019531, 5.0931782722473145, 5.185044765472412, 5.0001020431518555, 5.290132999420166]",5.17
3b5r,8.77,"[7.556245803833008, 7.46853494644165, 7.731736183166504, 7.594665050506592, 7.5890984535217285, 7.621253967285156, 7.593365669250488, 7.67941951751709, 7.840963363647461, 7.716826915740967]",7.64
3b65,9.27,"[6.423600673675537, 6.482236385345459, 6.463730812072754, 6.4059648513793945, 6.406506538391113, 6.39650821685791, 6.363220691680908, 6.481753349304199, 6.297680377960205, 6.457173824310303]",6.42
3b68,8.4,"[6.773148536682129, 6.251009464263916, 6.627534866333008, 6.714773178100586, 6.647534370422363, 6.552780628204346, 6.570320129394531, 6.611442565917969, 6.319883346557617, 6.591513633728027]",6.57
3d4z,4.89,"[4.2046799659729, 4.20184850692749, 4.175220966339111, 4.692943096160889, 4.106052875518799, 4.127098083496094, 4.111881732940674, 4.4514031410217285, 4.108875751495361, 4.2442545890808105]",4.24
3d6q,3.76,"[4.351495265960693, 4.846879005432129, 4.914073467254639, 4.420314311981201, 5.2283220291137695, 4.83113431930542, 4.490120887756348, 5.2428765296936035, 4.77773380279541, 4.207752227783203]",4.73
3dx1,3.58,"[4.46043586730957, 4.232451915740967, 4.064626216888428, 4.318653106689453, 4.4791436195373535, 4.468119144439697, 4.375489711761475, 4.278186798095703, 4.371817588806152, 4.4648308753967285]",4.35
3dx2,6.82,"[4.119302272796631, 4.027582168579102, 4.292542934417725, 3.9640450477600098, 4.030491352081299, 4.112205505371094, 4.200522422790527, 4.371261119842529, 4.183120250701904, 4.213470458984375]",4.15
3dxg,2.4,"[4.097250938415527, 4.309972763061523, 4.102133750915527, 4.271122455596924, 4.160312652587891, 4.048308849334717, 4.197560787200928, 4.155987739562988, 4.223690986633301, 4.386782169342041]",4.2
3ehy,5.85,"[4.050188064575195, 4.019711494445801, 4.076056957244873, 4.238151550292969, 4.169638633728027, 4.09433126449585, 4.07295560836792, 4.068653583526611, 4.024478912353516, 4.357373237609863]",4.12
3ejr,8.57,"[6.707431316375732, 6.662775993347168, 6.7446489334106445, 6.753427982330322, 6.749290466308594, 6.701654434204102, 6.735406875610352, 6.625489234924316, 6.69716215133667, 6.666064262390137]",6.7
3fcq,2.77,"[4.107295513153076, 4.090551376342773, 4.111926078796387, 4.144894123077393, 4.191859245300293, 4.143152236938477, 4.152937889099121, 4.071218013763428, 4.189749240875244, 4.223466873168945]",4.14
3g0w,9.52,"[7.464520454406738, 7.393014907836914, 7.368771553039551, 7.507479190826416, 7.538637638092041, 7.382719039916992, 7.388252258300781, 7.476956844329834, 7.533675193786621, 7.414844036102295]",7.45
3gbb,6.9,"[4.042006015777588, 4.069458961486816, 4.0699143409729, 4.03265905380249, 4.1018877029418945, 4.037610054016113, 4.037606716156006, 4.033230304718018, 4.058837890625, 4.188720703125]",4.07
3gr2,2.52,"[4.461379528045654, 4.3705291748046875, 4.4056396484375, 4.433704376220703, 4.336757183074951, 4.407801151275635, 4.302731513977051, 4.3328471183776855, 4.290079116821289, 4.445577144622803]",4.38
3gv9,2.12,"[4.147624492645264, 4.1856770515441895, 4.150408744812012, 4.119996070861816, 4.129764556884766, 4.098024368286133, 4.20123291015625, 4.155533790588379, 4.164972305297852, 4.187087535858154]",4.15
3jya,6.89,"[5.712917327880859, 5.65183162689209, 5.708771705627441, 5.699604034423828, 5.713483810424805, 5.800595760345459, 5.688292980194092, 5.748851299285889, 5.670975208282471, 5.747252941131592]",5.71
3lka,2.82,"[4.060389041900635, 4.012457370758057, 4.075342655181885, 4.077391624450684, 4.089621543884277, 4.09438943862915, 4.033381462097168, 4.0207600593566895, 3.9943270683288574, 4.134797096252441]",4.06
3n76,6.85,"[7.272528171539307, 7.345284938812256, 7.132425308227539, 7.263368606567383, 7.293438911437988, 7.279622554779053, 7.458497524261475, 7.346713066101074, 7.347995758056641, 7.42012882232666]",7.32
3n86,5.64,"[7.291562080383301, 7.096829414367676, 7.5508904457092285, 7.262267589569092, 7.735165596008301, 7.2209086418151855, 7.454029560089111, 7.0375237464904785, 7.075897693634033, 7.058632850646973]",7.28
3nq9,4.03,"[5.106315612792969, 5.021217346191406, 4.913699626922607, 5.278010368347168, 4.9941487312316895, 5.181769847869873, 5.101404666900635, 5.062087059020996, 5.211061477661133, 5.001503944396973]",5.09
3nx7,8.1,"[5.372292518615723, 6.230104446411133, 5.439132213592529, 5.467877388000488, 5.83607292175293, 5.585621356964111, 6.033944129943848, 5.600219249725342, 5.827816963195801, 5.421379566192627]",5.68
3o9i,11.82,"[10.953215599060059, 10.947059631347656, 11.14923095703125, 10.755281448364258, 10.68498706817627, 10.810527801513672, 10.783527374267578, 10.934596061706543, 10.957759857177734, 11.288484573364258]",10.93
3ozs,5.33,"[8.210814476013184, 8.326251029968262, 8.166604042053223, 8.007190704345703, 8.308873176574707, 8.084396362304688, 8.183418273925781, 8.220041275024414, 8.061279296875, 7.924283504486084]",8.15
3ozt,4.13,"[7.959881782531738, 7.970369338989258, 8.303436279296875, 7.608448028564453, 7.933232307434082, 7.821125507354736, 8.170354843139648, 8.089198112487793, 7.812539100646973, 8.00796127319336]",7.97
3p5o,7.26,"[6.865877151489258, 6.9601922035217285, 6.963769435882568, 7.0449724197387695, 6.977670192718506, 6.833818435668945, 6.9836578369140625, 7.065296649932861, 6.897418975830078, 6.975160121917725]",6.96
3prs,7.82,"[9.661937713623047, 9.660239219665527, 9.559786796569824, 9.390278816223145, 9.564833641052246, 9.409223556518555, 9.271198272705078, 9.44860553741455, 10.064513206481934, 9.629019737243652]",9.57
3pww,7.32,"[7.637310028076172, 7.735987186431885, 7.779382228851318, 8.078977584838867, 7.709425926208496, 7.748694896697998, 7.603353977203369, 7.765341281890869, 7.727655410766602, 7.603244304656982]",7.74
3qqs,5.82,"[5.512751579284668, 5.644072532653809, 5.631305694580078, 5.588923454284668, 5.526816368103027, 5.6197428703308105, 5.661852836608887, 5.6359100341796875, 5.575251579284668, 5.483944416046143]",5.59
3rlr,7.52,"[7.018969535827637, 7.031993389129639, 7.106753349304199, 7.258211612701416, 7.147281646728516, 7.190645217895508, 7.264819145202637, 7.096635341644287, 7.118508338928223, 7.2079901695251465]",7.14
3tsk,7.17,"[7.140467643737793, 7.165928840637207, 7.2545485496521, 7.448920249938965, 7.179227352142334, 6.955369472503662, 7.098537445068359, 7.376155853271484, 7.030275344848633, 7.154926776885986]",7.18
3twp,3.92,"[4.0193867683410645, 3.996429681777954, 4.023591041564941, 3.998440742492676, 4.020630836486816, 4.014168739318848, 3.9925968647003174, 3.9928572177886963, 4.019004821777344, 4.027765274047852]",4.01
3u5j,5.61,"[6.009804725646973, 6.002354145050049, 6.096728801727295, 6.084268093109131, 5.807222366333008, 6.023155212402344, 6.01101541519165, 6.029514789581299, 5.971108436584473, 5.895768165588379]",5.99
3ui7,9.0,"[6.922656536102295, 6.873193264007568, 6.808913230895996, 6.903773784637451, 6.843973159790039, 6.775686740875244, 6.9615325927734375, 7.0736985206604, 6.967752933502197, 6.786370277404785]",6.89
3uo4,6.52,"[6.900875568389893, 6.965713024139404, 6.850283145904541, 6.948092460632324, 6.898019790649414, 6.884089469909668, 6.856800556182861, 6.861929416656494, 6.908900260925293, 6.991362571716309]",6.91
3up2,7.4,"[7.18152379989624, 7.185459613800049, 7.330453872680664, 7.037038803100586, 7.24296760559082, 7.170602798461914, 7.290219306945801, 7.114793300628662, 7.046104907989502, 7.190555572509766]",7.18
3uuo,7.96,"[6.7608642578125, 6.832465171813965, 6.869637489318848, 6.88137674331665, 6.799174785614014, 6.851891994476318, 6.883821487426758, 6.862521648406982, 6.854634761810303, 6.943390846252441]",6.85
3wtj,6.53,"[4.058864116668701, 4.011160373687744, 4.043895721435547, 4.028789520263672, 4.02758264541626, 4.012256145477295, 4.0636396408081055, 4.019190311431885, 4.013995170593262, 4.019707679748535]",4.03
3wz8,5.82,"[6.47935676574707, 6.29414176940918, 6.337769031524658, 6.458431720733643, 6.331845283508301, 6.315846920013428, 6.347458362579346, 6.396918773651123, 6.276374816894531, 6.31332540512085]",6.36
4agn,3.97,"[6.766969203948975, 6.441439628601074, 6.517302989959717, 6.7373809814453125, 6.603588581085205, 6.739704608917236, 6.314323902130127, 6.551192760467529, 6.417782306671143, 6.685075283050537]",6.58
4agp,4.69,"[7.180216312408447, 7.023355007171631, 7.108617782592773, 7.040127754211426, 7.167278289794922, 7.229908466339111, 7.052660942077637, 7.186615943908691, 7.218504905700684, 7.226657390594482]",7.14
4agq,5.01,"[7.030327320098877, 6.971589088439941, 7.292733192443848, 7.132143974304199, 7.094455242156982, 7.012561321258545, 7.055748462677002, 7.0421624183654785, 7.084395408630371, 7.0404791831970215]",7.08
4ciw,4.82,"[7.7985968589782715, 7.154737949371338, 5.74159574508667, 7.795178413391113, 7.001454830169678, 7.354329586029053, 7.5941338539123535, 6.171159267425537, 7.300841808319092, 7.677630424499512]",7.16
4dld,5.82,"[7.717135429382324, 7.670544147491455, 7.456459045410156, 7.637213230133057, 7.8302083015441895, 7.90202522277832, 7.745404243469238, 7.863215446472168, 7.88822603225708, 7.605502605438232]",7.73
4f2w,11.3,"[7.436646938323975, 7.615245819091797, 7.464407920837402, 7.4084601402282715, 7.399690628051758, 7.199418067932129, 7.883638858795166, 7.273474216461182, 7.495244026184082, 7.582635402679443]",7.48
4f3c,11.82,"[7.025005340576172, 6.9514970779418945, 6.95482873916626, 7.413172721862793, 7.210145950317383, 7.110080242156982, 7.074297904968262, 7.025827884674072, 7.01854944229126, 7.161163806915283]",7.09
4gid,10.77,"[7.639317035675049, 7.30805778503418, 7.206480979919434, 7.690939903259277, 7.490316867828369, 7.435786724090576, 7.294032573699951, 7.44112491607666, 7.234810829162598, 7.119476318359375]",7.39
4j28,5.7,"[7.142634868621826, 6.969218730926514, 6.827327728271484, 6.855079174041748, 6.973799705505371, 7.0420050621032715, 7.221229076385498, 6.928400993347168, 6.985406875610352, 7.071919918060303]",7.0
4jfs,5.27,"[5.713560104370117, 5.894954204559326, 5.642143726348877, 5.555901527404785, 5.775879383087158, 5.401548385620117, 5.210886478424072, 4.965389728546143, 5.082766532897949, 5.323792934417725]",5.46
4jxs,4.74,"[4.748395919799805, 4.768204212188721, 5.051284313201904, 4.582803249359131, 4.90556526184082, 4.827157497406006, 4.724158763885498, 4.7995076179504395, 4.893378257751465, 4.500871658325195]",4.78
4k18,8.96,"[6.876195907592773, 6.93704080581665, 7.0308051109313965, 6.850734233856201, 6.887623310089111, 6.784882545471191, 6.804614543914795, 6.8828020095825195, 6.962090969085693, 6.941854476928711]",6.9
4kz6,3.1,"[4.164635181427002, 4.160147190093994, 4.199705600738525, 4.193665981292725, 4.023601531982422, 4.3126139640808105, 4.008761405944824, 4.177692890167236, 4.387561798095703, 4.39841365814209]",4.2
4kzq,6.1,"[5.6060380935668945, 5.538711071014404, 5.638504981994629, 5.571330547332764, 5.4974775314331055, 5.6110758781433105, 5.56164026260376, 5.696150302886963, 5.61816930770874, 5.647037982940674]",5.6
4kzu,6.5,"[5.592543125152588, 5.588517189025879, 5.5203118324279785, 5.552100658416748, 5.721920967102051, 5.569699287414551, 5.7204694747924805, 5.548323631286621, 5.567923069000244, 5.529416561126709]",5.59
4llx,2.89,"[4.209600925445557, 4.196670055389404, 4.157765865325928, 4.2414445877075195, 4.19765567779541, 4.200328826904297, 4.241690158843994, 4.20012092590332, 4.200718879699707, 4.236091613769531]",4.21
4lzs,4.8,"[5.570834159851074, 5.664470672607422, 5.431920051574707, 5.657373905181885, 5.800514221191406, 5.861494541168213, 5.477980613708496, 5.341750144958496, 5.743685722351074, 5.239570617675781]",5.58
4m0y,6.46,"[6.2639312744140625, 6.387531280517578, 6.363219738006592, 6.437457084655762, 6.339334011077881, 6.387269973754883, 6.497951984405518, 6.378018379211426, 6.3230695724487305, 6.311588764190674]",6.37
4ogj,6.79,"[7.31632661819458, 7.508723735809326, 7.43806791305542, 7.326915740966797, 7.506710052490234, 7.386571407318115, 7.460546970367432, 7.542242050170898, 7.190979480743408, 7.387772083282471]",7.41
4pcs,7.85,"[6.010868549346924, 5.862517833709717, 5.851919174194336, 6.011020660400391, 5.921716213226318, 5.973782539367676, 5.965708255767822, 5.97688102722168, 5.9189372062683105, 5.789576053619385]",5.93
4wiv,6.26,"[7.003184795379639, 7.174871921539307, 6.920352458953857, 7.104447364807129, 7.223659038543701, 7.025315761566162, 7.281712532043457, 6.902951240539551, 6.997808933258057, 6.918905735015869]",7.06
5a7b,3.57,"[7.039694786071777, 6.967073440551758, 6.997378826141357, 7.042084217071533, 6.977585315704346, 7.144168376922607, 7.088562965393066, 7.014895439147949, 7.094925880432129, 7.096900463104248]",7.05
5aba,2.98,"[6.6651997566223145, 6.613924503326416, 6.785597801208496, 6.803417682647705, 6.708271026611328, 6.680604934692383, 6.676812171936035, 6.4202375411987305, 6.511880874633789, 6.850007057189941]",6.67
5c28,5.66,"[4.235055446624756, 4.3690056800842285, 4.075030326843262, 4.0893473625183105, 4.303712844848633, 4.281160831451416, 4.317395210266113, 4.188760757446289, 4.071443557739258, 4.222187519073486]",4.22
5c2h,11.09,"[7.312177658081055, 7.175097942352295, 7.48863410949707, 7.114130973815918, 7.246023178100586, 7.21235466003418, 7.527653694152832, 7.441279411315918, 7.287395477294922, 7.16563081741333]",7.3
5dwr,11.22,"[7.486068248748779, 7.441278457641602, 7.371011734008789, 7.487269401550293, 7.462183952331543, 7.553579330444336, 7.346423149108887, 7.363909721374512, 7.3545660972595215, 7.4494428634643555]",7.43
