pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.959717273712158, 6.436482906341553, 5.397349834442139, 5.857394695281982, 5.522413730621338, 6.420579433441162, 6.2088303565979, 6.391215801239014, 6.121877670288086, 5.999004364013672]",6.03
1qkt,9.04,"[6.6287617683410645, 6.936395645141602, 6.690905570983887, 6.59802770614624, 6.91427755355835, 6.820652008056641, 6.682600498199463, 6.607634544372559, 6.751283645629883, 6.807389736175537]",6.74
1syi,5.44,"[4.865388870239258, 4.633111953735352, 4.630066871643066, 4.588953971862793, 4.82316255569458, 5.567677974700928, 4.380224227905273, 4.77979040145874, 4.499076843261719, 4.53852653503418]",4.73
1y6r,10.11,"[8.257542610168457, 8.126657485961914, 8.381308555603027, 8.236808776855469, 8.316356658935547, 8.194740295410156, 8.245866775512695, 8.465530395507812, 8.135631561279297, 8.138931274414062]",8.25
1yc1,6.17,"[7.281423091888428, 7.1685566902160645, 7.270838737487793, 7.3210129737854, 7.383592128753662, 7.163009166717529, 7.252038955688477, 7.214105606079102, 7.279234886169434, 7.321220397949219]",7.27
2v00,3.66,"[5.993107318878174, 6.277757167816162, 6.149650573730469, 6.052380561828613, 5.768124580383301, 5.8743181228637695, 6.3474345207214355, 6.331305027008057, 5.965603828430176, 6.025673866271973]",6.08
2vw5,8.52,"[7.648519039154053, 7.462469100952148, 7.4135003089904785, 7.677329063415527, 7.504344463348389, 7.443668365478516, 7.792081356048584, 7.68222713470459, 7.5142669677734375, 7.593052387237549]",7.57
2wer,7.05,"[6.517859935760498, 6.480945587158203, 6.580352783203125, 6.42107629776001, 6.543527126312256, 6.634278297424316, 6.675358772277832, 6.5067596435546875, 6.539360046386719, 6.545199871063232]",6.54
2wnc,6.32,"[6.279762268066406, 6.426350116729736, 6.268845081329346, 6.284640312194824, 6.292100429534912, 6.301408767700195, 6.018730163574219, 6.341238975524902, 6.158417224884033, 6.219959735870361]",6.26
2wvt,6.12,"[4.361423492431641, 4.416875839233398, 4.487545013427734, 4.453280448913574, 4.379639148712158, 4.452277183532715, 4.40144157409668, 4.410123348236084, 4.455061912536621, 4.626459121704102]",4.44
2x00,11.33,"[7.481396675109863, 7.523691654205322, 7.37904167175293, 7.435476303100586, 7.342657566070557, 7.50413179397583, 7.482446670532227, 7.401306629180908, 7.676338195800781, 7.391467571258545]",7.46
2xb8,7.59,"[6.160062313079834, 6.428019046783447, 6.532522678375244, 6.471005439758301, 6.497329235076904, 6.552832126617432, 6.3635125160217285, 6.224370002746582, 7.117137908935547, 5.961326599121094]",6.43
2xdl,3.1,"[4.36484432220459, 4.369317531585693, 4.330829620361328, 4.310394287109375, 4.335933685302734, 4.311447620391846, 4.384818077087402, 4.350411891937256, 4.3470072746276855, 4.364169597625732]",4.35
2xii,7.2,"[6.800052165985107, 6.836738109588623, 6.85623836517334, 6.773900508880615, 6.7630815505981445, 6.914543628692627, 6.806898593902588, 6.817262649536133, 6.867499351501465, 6.840696811676025]",6.83
