pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.575039386749268, 5.333217144012451, 5.096751689910889, 5.519769191741943, 5.242586135864258, 5.472117900848389, 5.864541530609131, 5.044530391693115, 5.248551368713379, 5.5875749588012695]",5.4
1qkt,9.04,"[7.273041248321533, 7.506397247314453, 6.587902069091797, 7.6757283210754395, 7.331085205078125, 7.294057369232178, 7.04860258102417, 7.424007892608643, 7.568021297454834, 7.123377323150635]",7.28
1syi,5.44,"[5.764680862426758, 6.053160667419434, 6.207393169403076, 6.19186544418335, 6.848369121551514, 5.190530776977539, 6.242238998413086, 5.573148727416992, 5.876594543457031, 5.828071117401123]",5.98
1y6r,10.11,"[6.338019847869873, 5.699920177459717, 5.887129306793213, 5.964144229888916, 6.255249977111816, 6.489680767059326, 6.29219388961792, 6.171532154083252, 5.918191432952881, 6.013070583343506]",6.1
1yc1,6.17,"[5.798215866088867, 7.021734714508057, 6.513603687286377, 6.282227516174316, 6.540586471557617, 7.303328514099121, 6.011131763458252, 6.297786235809326, 5.872426509857178, 6.57088041305542]",6.42
2v00,3.66,"[5.788151264190674, 5.174878120422363, 6.141292572021484, 5.8283305168151855, 5.888864040374756, 5.86719274520874, 5.479992389678955, 5.957934856414795, 5.424211502075195, 5.740262031555176]",5.73
2vw5,8.52,"[7.941817760467529, 7.507197856903076, 8.325331687927246, 7.1225972175598145, 7.706808567047119, 8.102365493774414, 7.805902004241943, 8.498827934265137, 8.202099800109863, 7.687116622924805]",7.89
2wer,7.05,"[6.321750640869141, 7.144731521606445, 6.7231669425964355, 6.5312581062316895, 6.686575412750244, 6.719607830047607, 7.192471981048584, 6.632263660430908, 6.407890796661377, 6.75969123840332]",6.71
2wnc,6.32,"[6.164802551269531, 6.112231254577637, 5.6836161613464355, 6.108827114105225, 5.997804641723633, 5.658632755279541, 6.099462032318115, 5.9046220779418945, 5.89573335647583, 6.3804097175598145]",6.0
2wvt,6.12,"[6.363786220550537, 6.278173446655273, 7.224714756011963, 5.979113578796387, 6.459401607513428, 6.458895206451416, 6.677791118621826, 7.457431316375732, 7.0709991455078125, 6.046072483062744]",6.6
2x00,11.33,"[6.25703763961792, 6.216113567352295, 6.134840488433838, 6.571815013885498, 5.775588512420654, 6.5428996086120605, 5.871865272521973, 6.262096881866455, 6.407328128814697, 6.004684925079346]",6.2
2xb8,7.59,"[5.545803546905518, 6.334933757781982, 5.670495510101318, 6.543247699737549, 5.7500901222229, 6.182555675506592, 6.21394681930542, 5.764710903167725, 6.307427406311035, 6.109756946563721]",6.04
2xdl,3.1,"[6.0397772789001465, 5.853790760040283, 5.867583751678467, 6.203711986541748, 5.653794288635254, 5.811992168426514, 6.210408687591553, 6.447996616363525, 5.947575569152832, 5.997037410736084]",6.0
2xii,7.2,"[7.312377452850342, 6.8916425704956055, 8.17169189453125, 6.159043788909912, 6.001100540161133, 6.676047325134277, 6.166557788848877, 6.880303859710693, 6.728356838226318, 6.856220722198486]",6.78
2yki,9.46,"[7.053898334503174, 7.421165943145752, 6.814478397369385, 7.208132266998291, 7.430612087249756, 7.452788829803467, 6.793130397796631, 6.758554935455322, 6.922944068908691, 7.553574562072754]",7.14
2ymd,3.16,"[8.4086332321167, 8.091516494750977, 7.869824409484863, 7.736020088195801, 7.056039333343506, 8.529716491699219, 7.586121082305908, 7.493837833404541, 8.19074821472168, 7.901273727416992]",7.89
3aru,3.22,"[5.663633346557617, 5.490879535675049, 5.511091232299805, 5.030569076538086, 4.936519622802734, 5.159143447875977, 5.52483606338501, 5.404731750488281, 5.382187366485596, 6.022430896759033]",5.41
3ary,6.0,"[5.0221357345581055, 5.0122785568237305, 4.862342834472656, 5.446073055267334, 4.9181342124938965, 6.010087013244629, 5.21859884262085, 5.46793794631958, 5.293823719024658, 6.103501319885254]",5.34
3b27,5.16,"[5.894963264465332, 6.681990146636963, 5.034898281097412, 5.928590774536133, 6.228606700897217, 5.7732977867126465, 5.440914630889893, 5.244758605957031, 5.43380880355835, 5.322210311889648]",5.7
3b5r,8.77,"[8.703947067260742, 8.536443710327148, 8.07711410522461, 8.168556213378906, 8.238823890686035, 8.672371864318848, 8.076963424682617, 8.821361541748047, 7.672150135040283, 8.80894947052002]",8.38
3b65,9.27,"[7.972164630889893, 7.562269687652588, 8.260686874389648, 8.060340881347656, 7.882835388183594, 8.206805229187012, 7.533279895782471, 8.33005428314209, 8.289888381958008, 7.9816765785217285]",8.01
3b68,8.4,"[7.365720748901367, 7.976276874542236, 7.594884395599365, 8.285475730895996, 7.850282192230225, 8.19042682647705, 8.574512481689453, 8.56865119934082, 8.16637134552002, 7.13826322555542]",7.97
3d4z,4.89,"[5.078548908233643, 5.124162197113037, 5.169619560241699, 5.461203098297119, 4.9028544425964355, 4.627627849578857, 4.054285049438477, 4.628290176391602, 5.774773597717285, 4.625415802001953]",4.94
3d6q,3.76,"[6.149439811706543, 5.702737808227539, 5.909525394439697, 6.089231967926025, 6.379664897918701, 6.275303363800049, 5.232553482055664, 5.6381096839904785, 6.102921009063721, 6.126777172088623]",5.96
3dx1,3.58,"[4.456160545349121, 5.924463748931885, 4.503783226013184, 5.309463024139404, 4.786803722381592, 4.783882141113281, 5.125062465667725, 4.914446830749512, 5.073489189147949, 4.5167388916015625]",4.94
3dx2,6.82,"[4.965941905975342, 4.664669036865234, 6.2364726066589355, 5.278785228729248, 5.300342559814453, 5.304102420806885, 5.175467014312744, 5.836885929107666, 4.800224304199219, 5.843863487243652]",5.34
