pdbid,real,predictions,mean_pred
1p1n,6.8,"[6.432936668395996, 6.537262916564941, 6.101749420166016, 6.318731307983398, 5.954832077026367, 6.346445083618164, 6.756542205810547, 6.117058753967285, 6.213690757751465, 6.769172668457031]",6.35
1qkt,9.04,"[7.546753883361816, 7.188565254211426, 6.944838523864746, 6.941407203674316, 7.365303993225098, 7.296562194824219, 7.442594528198242, 6.683688163757324, 6.924006462097168, 6.594194412231445]",7.09
1syi,5.44,"[5.82533073425293, 6.239501953125, 6.96550178527832, 6.508606910705566, 5.772595405578613, 5.613317489624023, 6.951848030090332, 6.1128692626953125, 6.377976417541504, 5.711310386657715]",6.21
1y6r,10.11,"[6.198295593261719, 5.65439510345459, 6.368844985961914, 5.847241401672363, 5.969250679016113, 5.845024108886719, 6.235171318054199, 6.517459869384766, 5.995481491088867, 5.55526065826416]",6.02
1yc1,6.17,"[6.215404510498047, 6.324404716491699, 6.573704719543457, 6.371953010559082, 6.406003952026367, 6.882311820983887, 6.145071029663086, 6.066021919250488, 6.247880935668945, 5.617509841918945]",6.29
2v00,3.66,"[4.387197494506836, 5.501147270202637, 4.916017532348633, 5.7990217208862305, 5.132759094238281, 5.165317535400391, 5.344042778015137, 5.540016174316406, 4.936419486999512, 5.094851493835449]",5.18
2vw5,8.52,"[7.25438117980957, 7.516749382019043, 7.767316818237305, 7.601287841796875, 7.779657363891602, 7.063157081604004, 7.193114280700684, 7.221765518188477, 7.829575538635254, 7.606030464172363]",7.48
2wer,7.05,"[6.5379838943481445, 6.466346740722656, 7.0230712890625, 6.394048690795898, 6.4933624267578125, 6.93730354309082, 6.882743835449219, 5.923505783081055, 6.027050971984863, 5.854535102844238]",6.45
2wnc,6.32,"[6.895354270935059, 7.017805099487305, 6.364670753479004, 7.393811225891113, 7.1189422607421875, 6.883846282958984, 6.87650203704834, 6.38893985748291, 6.387809753417969, 7.418834686279297]",6.87
2wvt,6.12,"[6.315903663635254, 7.223431587219238, 7.4074201583862305, 6.9171295166015625, 7.2908830642700195, 7.085840225219727, 7.921724319458008, 7.979317665100098, 7.559530258178711, 6.1614789962768555]",7.19
