pdbid,real,predictions,mean_pred
1p1n,6.8,"[4.768197536468506, 4.6240997314453125, 4.998678207397461, 4.958148956298828, 5.043622970581055, 4.682019233703613, 4.617514610290527, 5.03886604309082, 4.943784713745117, 4.617051124572754]",4.83
1qkt,9.04,"[7.358019828796387, 7.366323471069336, 7.116199493408203, 7.432321548461914, 6.874574661254883, 7.177885055541992, 7.568572044372559, 7.053031921386719, 7.587175369262695, 7.408202171325684]",7.29
1syi,5.44,"[5.603344917297363, 5.845813751220703, 5.7594499588012695, 5.560002326965332, 5.4796600341796875, 5.622922897338867, 5.741987228393555, 5.52449893951416, 5.806912422180176, 5.431826591491699]",5.64
1y6r,10.11,"[6.355568885803223, 6.454463005065918, 6.169445991516113, 6.273648262023926, 6.341283798217773, 6.512187957763672, 6.179770469665527, 6.609458923339844, 6.107775688171387, 6.1737565994262695]",6.32
1yc1,6.17,"[6.343289375305176, 6.310997009277344, 6.239139556884766, 6.1854705810546875, 6.207533836364746, 6.428903579711914, 6.300602912902832, 6.540531158447266, 6.408452033996582, 6.490002632141113]",6.35
2v00,3.66,"[4.496452331542969, 4.789864540100098, 4.970543384552002, 4.604859828948975, 4.541426658630371, 4.429836273193359, 4.568965911865234, 4.724069595336914, 5.049510955810547, 4.744375228881836]",4.69
2vw5,8.52,"[7.468173027038574, 7.523969650268555, 7.628592491149902, 7.547240257263184, 7.770160675048828, 7.589694976806641, 7.393065452575684, 7.536986351013184, 7.697134971618652, 7.463347434997559]",7.56
2wer,7.05,"[6.525104522705078, 6.636950492858887, 6.671762466430664, 6.6509246826171875, 6.60774040222168, 6.536225318908691, 6.673995018005371, 6.6544036865234375, 6.82710075378418, 6.802364349365234]",6.66
2wnc,6.32,"[6.6601104736328125, 6.171786308288574, 6.092325210571289, 7.361138343811035, 6.93179988861084, 6.6300201416015625, 6.527434349060059, 7.499812126159668, 6.113039970397949, 6.863947868347168]",6.69
2wvt,6.12,"[5.264725685119629, 5.182848930358887, 4.969696044921875, 4.748434066772461, 5.310938835144043, 5.034080505371094, 5.197094917297363, 5.120297431945801, 5.0549468994140625, 5.183095932006836]",5.11
2x00,11.33,"[8.712613105773926, 8.56571102142334, 8.595196723937988, 8.597833633422852, 8.946511268615723, 8.7344970703125, 8.559499740600586, 8.583385467529297, 8.54852294921875, 8.641875267028809]",8.65
2xb8,7.59,"[6.386037826538086, 6.228742599487305, 6.1673173904418945, 6.278924942016602, 6.257145881652832, 6.077818870544434, 6.295823097229004, 5.961091041564941, 5.899472236633301, 6.143054008483887]",6.17
2xdl,3.1,"[4.917904853820801, 5.079023361206055, 5.106680870056152, 5.088339805603027, 5.367861747741699, 5.070497512817383, 5.328960418701172, 5.114027976989746, 5.260040283203125, 5.148838043212891]",5.15
2xii,7.2,"[7.502527236938477, 7.6544952392578125, 7.198447227478027, 7.237911224365234, 7.277975082397461, 7.767307281494141, 7.382765769958496, 7.463640213012695, 7.596949577331543, 7.513420104980469]",7.46
2yki,9.46,"[8.355545043945312, 8.4785737991333, 8.404691696166992, 8.126211166381836, 8.323789596557617, 7.999459266662598, 8.286252975463867, 8.287150382995605, 8.132858276367188, 8.54358196258545]",8.29
2ymd,3.16,"[4.727460861206055, 5.059022903442383, 4.719466209411621, 4.901026725769043, 4.80477237701416, 4.768084526062012, 4.89064884185791, 4.829630374908447, 4.743039608001709, 4.724474906921387]",4.82
3aru,3.22,"[5.326406478881836, 5.012156963348389, 5.705489158630371, 5.850573539733887, 5.1737823486328125, 5.446279525756836, 5.389185905456543, 5.347654342651367, 5.589790344238281, 5.595589637756348]",5.44
3ary,6.0,"[5.118885040283203, 5.337843894958496, 5.015250205993652, 5.14365291595459, 5.28720760345459, 5.30133056640625, 5.616623878479004, 5.423259735107422, 5.262219429016113, 5.318382263183594]",5.28
3b27,5.16,"[5.997279167175293, 6.014945030212402, 5.873391151428223, 6.453401565551758, 5.975825309753418, 6.179527282714844, 6.15634822845459, 5.931940078735352, 5.843132019042969, 6.027641296386719]",6.05
3b5r,8.77,"[6.833141326904297, 6.994821548461914, 6.8314361572265625, 7.132818222045898, 7.165118217468262, 7.1862287521362305, 6.989128112792969, 6.852402687072754, 7.359806060791016, 7.085382461547852]",7.04
3b65,9.27,"[7.0629777908325195, 6.673796653747559, 6.47381591796875, 6.428322792053223, 6.644866943359375, 6.228780746459961, 6.251212120056152, 6.670558929443359, 6.627854347229004, 6.447732925415039]",6.55
3b68,8.4,"[7.141196250915527, 6.862105369567871, 6.788593292236328, 6.75430965423584, 7.263718605041504, 7.089176177978516, 6.4306182861328125, 6.826878547668457, 7.028244972229004, 6.860761642456055]",6.9
3d4z,4.89,"[4.928648948669434, 4.895211219787598, 4.783171653747559, 5.112269401550293, 4.899129867553711, 4.909751892089844, 4.953298568725586, 4.891911506652832, 4.792247772216797, 4.835085868835449]",4.9
3d6q,3.76,"[5.306516647338867, 5.275033950805664, 5.203192710876465, 5.181763648986816, 5.221469879150391, 5.199466705322266, 5.027132511138916, 5.0814361572265625, 5.319305419921875, 5.244582176208496]",5.21
3dx1,3.58,"[4.896409034729004, 4.991768836975098, 4.971172332763672, 4.902393341064453, 4.993250846862793, 5.015866756439209, 4.809067726135254, 4.921045780181885, 4.940593719482422, 4.95598030090332]",4.94
3dx2,6.82,"[5.165990829467773, 5.352066993713379, 5.334652900695801, 5.061186790466309, 5.168694496154785, 5.033890724182129, 4.9414143562316895, 5.239846229553223, 5.077610015869141, 5.180318832397461]",5.16
3dxg,2.4,"[4.7574663162231445, 4.694111347198486, 4.866945266723633, 4.62039852142334, 5.05771541595459, 4.735648155212402, 4.806155204772949, 4.75888729095459, 4.75930643081665, 4.78298282623291]",4.78
3ehy,5.85,"[5.299698829650879, 5.326449394226074, 5.302602767944336, 5.3067779541015625, 5.123384475708008, 5.433576583862305, 5.526976585388184, 5.488064765930176, 5.310336112976074, 5.040797233581543]",5.32
3ejr,8.57,"[7.421013832092285, 7.320435523986816, 7.321698188781738, 7.514961242675781, 7.173103332519531, 7.521336555480957, 7.636467933654785, 7.556962966918945, 7.3181915283203125, 7.47806453704834]",7.43
3fcq,2.77,"[4.632328987121582, 4.615011692047119, 4.576305389404297, 4.8345794677734375, 4.816507339477539, 4.631638050079346, 4.663775444030762, 4.477065563201904, 4.677951335906982, 4.919319152832031]",4.68
3g0w,9.52,"[7.033455848693848, 7.108002662658691, 7.070305824279785, 6.98284912109375, 6.820806503295898, 7.211143493652344, 6.8003339767456055, 6.928387641906738, 7.415504455566406, 6.998112678527832]",7.04
3gbb,6.9,"[5.471837997436523, 5.244336128234863, 5.156556129455566, 5.23291015625, 5.079290390014648, 5.140830993652344, 5.160407066345215, 5.068843841552734, 5.214150428771973, 5.229018211364746]",5.2
3gr2,2.52,"[4.622802734375, 4.548708915710449, 4.567516326904297, 4.767256736755371, 4.406285285949707, 4.859179496765137, 4.845306396484375, 4.551048278808594, 4.983086585998535, 4.689488410949707]",4.68
3gv9,2.12,"[4.766837120056152, 4.8105549812316895, 4.719468116760254, 4.624275207519531, 4.654660224914551, 4.569210052490234, 4.717217445373535, 4.613977432250977, 4.6755499839782715, 4.758144378662109]",4.69
3jya,6.89,"[5.523486137390137, 5.561434745788574, 5.385916709899902, 5.336688041687012, 5.40517520904541, 5.496819496154785, 5.281404495239258, 5.391269683837891, 5.376535415649414, 5.474713325500488]",5.42
3lka,2.82,"[4.647231101989746, 4.739073276519775, 4.549081802368164, 4.899725914001465, 4.685609817504883, 4.71360969543457, 4.701748847961426, 4.725189208984375, 4.72273063659668, 4.795040607452393]",4.72
3n76,6.85,"[6.182657241821289, 6.08696174621582, 6.124608039855957, 6.068777084350586, 5.750964164733887, 5.761588096618652, 6.206076622009277, 6.362748146057129, 6.163156509399414, 6.1741838455200195]",6.09
3n86,5.64,"[7.024418830871582, 6.9363298416137695, 6.563368797302246, 6.362727165222168, 7.248249053955078, 7.148001670837402, 6.39311408996582, 7.01439094543457, 7.004040718078613, 6.28378963470459]",6.8
3nq9,4.03,"[4.618535041809082, 4.7515645027160645, 4.591250419616699, 4.632962703704834, 4.690333843231201, 4.634982109069824, 4.595612049102783, 4.584582805633545, 4.707179069519043, 4.6736321449279785]",4.65
3nx7,8.1,"[5.970728874206543, 5.493834495544434, 5.526018142700195, 5.66292667388916, 5.647907257080078, 5.609978675842285, 5.834285736083984, 5.705789566040039, 5.87103271484375, 5.490522384643555]",5.68
3o9i,11.82,"[8.604764938354492, 8.377284049987793, 8.325166702270508, 8.285845756530762, 8.084721565246582, 8.512356758117676, 8.182402610778809, 8.56814956665039, 8.204205513000488, 8.136534690856934]",8.33
3ozs,5.33,"[5.760814666748047, 6.153332710266113, 6.426212310791016, 6.070548057556152, 6.3468780517578125, 5.733271598815918, 5.8513288497924805, 5.577591896057129, 6.098094940185547, 6.399148941040039]",6.04
3ozt,4.13,"[5.670246124267578, 5.556148529052734, 5.862579345703125, 5.645810127258301, 5.479343414306641, 5.392053604125977, 5.682075500488281, 5.781815528869629, 5.607504844665527, 5.282345771789551]",5.6
3p5o,7.26,"[7.41030216217041, 7.222319602966309, 7.711674690246582, 7.005887985229492, 7.208209037780762, 7.60231876373291, 7.390401840209961, 7.2156476974487305, 7.1565351486206055, 7.199957847595215]",7.31
3prs,7.82,"[8.453827857971191, 8.02320671081543, 8.280186653137207, 8.15272045135498, 8.57761001586914, 7.853189468383789, 7.987746238708496, 8.208373069763184, 7.955183982849121, 8.073076248168945]",8.16
3pww,7.32,"[8.275973320007324, 8.098989486694336, 7.896869659423828, 8.029430389404297, 8.065404891967773, 8.129180908203125, 8.078130722045898, 8.072563171386719, 8.038960456848145, 8.208856582641602]",8.09
3qqs,5.82,"[5.4308671951293945, 5.3553876876831055, 5.134200096130371, 5.192959785461426, 5.2548418045043945, 5.0565185546875, 5.286956787109375, 5.1552228927612305, 5.311742782592773, 5.069297790527344]",5.22
3rlr,7.52,"[6.956027030944824, 6.704385757446289, 6.878257751464844, 6.656752586364746, 6.9568023681640625, 6.822319984436035, 6.803974151611328, 6.9542388916015625, 6.7733259201049805, 6.843707084655762]",6.83
3tsk,7.17,"[7.161895751953125, 7.221436500549316, 7.177955627441406, 7.582152366638184, 7.4087419509887695, 6.963767051696777, 7.571920394897461, 7.135370254516602, 7.250970840454102, 7.089783668518066]",7.26
3twp,3.92,"[4.427720069885254, 4.411574840545654, 4.341612815856934, 4.2988176345825195, 4.370685577392578, 4.506035327911377, 4.519067764282227, 4.362276554107666, 4.341768264770508, 4.466855049133301]",4.4
3u5j,5.61,"[6.471632957458496, 6.400660514831543, 6.3618268966674805, 6.6671857833862305, 6.315011024475098, 5.9244890213012695, 6.11301326751709, 6.333062171936035, 6.4903106689453125, 6.426119804382324]",6.35
