,pdbid,real,prediction
0,1a30,4.3,6.82012414932251
1,1bcu,3.28,5.486051082611084
2,1bzc,4.92,6.169848442077637
3,1c5z,4.01,3.798442840576172
4,1e66,9.89,6.705820083618164
5,1eby,9.7,8.143617630004883
6,1g2k,7.96,7.81881046295166
7,1gpk,5.37,7.036165714263916
8,1gpn,6.48,6.447421073913574
9,1h22,9.1,6.775225639343262
10,1h23,8.35,7.179398059844971
11,1k1i,6.58,7.379818439483643
12,1lpg,7.09,7.373028755187988
13,1mq6,11.15,8.202657699584961
14,1nc1,6.12,9.654146194458008
15,1nc3,5.0,6.00545072555542
16,1nvq,8.25,6.630252361297607
17,1o0h,5.92,5.0427632331848145
18,1o3f,7.96,7.536846160888672
19,1o5b,5.77,5.3242950439453125
20,1owh,7.4,8.130239486694336
21,1oyt,7.24,8.127431869506836
22,1p1n,6.8,6.368138313293457
23,1p1q,4.89,6.437331676483154
24,1ps3,2.28,4.9368977546691895
25,1pxn,7.15,7.450326919555664
26,1q8t,4.76,5.3745551109313965
27,1q8u,5.96,6.728064060211182
28,1qf1,7.32,6.9901628494262695
29,1qkt,9.04,7.727505683898926
30,1r5y,6.46,4.397691249847412
31,1s38,5.15,2.758791208267212
32,1sqa,9.21,8.27103328704834
33,1syi,5.44,4.979901313781738
34,1u1b,7.8,5.422297477722168
35,1uto,2.27,4.195432662963867
36,1vso,4.72,4.827552318572998
37,1w4o,5.22,4.522903919219971
38,1y6r,10.11,9.77116584777832
39,1yc1,6.17,6.933709144592285
40,1ydr,5.52,5.250278949737549
41,1ydt,7.32,6.3446245193481445
42,1z6e,9.72,7.932450771331787
43,1z95,7.12,6.693117141723633
44,1z9g,5.64,6.608700752258301
45,2al5,8.4,6.399717330932617
46,2br1,5.14,7.282221794128418
47,2brb,4.86,6.388277530670166
48,2c3i,7.6,6.017293930053711
49,2cbv,5.48,5.119973659515381
50,2cet,8.02,6.323681831359863
51,2fvd,8.52,6.6589674949646
52,2fxs,6.06,6.467045783996582
53,2hb1,3.8,4.741786479949951
54,2iwx,6.68,6.35304069519043
55,2j78,6.42,4.95450496673584
56,2j7h,7.19,6.528740406036377
57,2p15,10.3,6.507300853729248
58,2p4y,9.0,7.297004222869873
59,2pog,9.54,7.079801559448242
60,2qbp,8.4,6.036232948303223
61,2qbq,7.44,7.857866287231445
62,2qbr,6.33,6.00826358795166
63,2qe4,7.96,5.99147891998291
64,2qnq,6.11,6.239750862121582
65,2r9w,5.1,5.686131477355957
66,2v00,3.66,4.784385681152344
67,2v7a,8.3,6.99864387512207
68,2vkm,8.74,8.173746109008789
69,2vvn,7.3,6.534884452819824
70,2vw5,8.52,7.005863189697266
71,2w4x,4.85,6.03122615814209
72,2w66,4.05,7.032303810119629
73,2wbg,4.45,5.224136829376221
74,2wca,5.6,6.851970672607422
75,2weg,6.5,3.9811015129089355
76,2wer,7.05,5.022991180419922
77,2wn9,8.52,5.992013931274414
78,2wnc,6.32,5.798625946044922
79,2wtv,8.74,7.745569229125977
80,2wvt,6.12,4.3140974044799805
81,2x00,11.33,8.028083801269531
82,2xb8,7.59,6.386462211608887
83,2xbv,8.43,8.515863418579102
84,2xdl,3.1,5.43873405456543
85,2xii,7.2,7.0879011154174805
86,2xj7,6.66,5.617912292480469
87,2xnb,6.83,7.1709699630737305
88,2xys,7.42,7.039426803588867
89,2y5h,5.79,7.553528785705566
90,2yfe,6.63,7.243863105773926
91,2yge,5.06,5.5315093994140625
92,2yki,9.46,5.780572891235352
93,2ymd,3.16,7.19386100769043
94,2zb1,6.32,7.524212837219238
95,2zcq,8.82,6.980462074279785
96,2zcr,6.87,7.945094108581543
97,2zda,8.4,4.831357955932617
98,2zy1,7.4,8.564051628112793
99,3acw,4.76,7.073366165161133
100,3ag9,8.05,6.550934314727783
101,3ao4,2.07,6.2921037673950195
102,3arp,7.15,6.178785800933838
103,3arq,6.4,7.233189105987549
104,3aru,3.22,6.286489009857178
105,3arv,5.64,5.840405464172363
106,3ary,6.0,7.029344081878662
107,3b1m,8.48,7.505804061889648
108,3b27,5.16,6.493112564086914
109,3b5r,8.77,7.425385475158691
110,3b65,9.27,7.970135688781738
111,3b68,8.4,6.690236568450928
112,3bgz,6.26,5.939531326293945
113,3bv9,5.36,6.641897678375244
114,3cj4,6.51,7.177944660186768
115,3coy,6.02,7.616618633270264
116,3coz,5.57,7.500004768371582
117,3d4z,4.89,6.439923286437988
118,3d6q,3.76,5.269403457641602
119,3dd0,9.0,4.922199249267578
120,3dx1,3.58,6.301684379577637
121,3dx2,6.82,6.338221549987793
122,3dxg,2.4,4.867876052856445
123,3e5a,8.23,8.027097702026367
124,3e92,8.0,7.551396369934082
125,3e93,8.85,6.606107711791992
126,3ebp,5.91,6.576948642730713
127,3ehy,5.85,6.46688175201416
128,3ejr,8.57,8.637996673583984
129,3f3a,4.19,4.934606552124023
130,3f3c,6.02,4.482684135437012
131,3f3d,7.16,5.673826217651367
132,3f3e,7.7,3.766340732574463
133,3fcq,2.77,4.731237888336182
134,3fur,8.0,8.53067398071289
135,3fv1,9.3,5.528071880340576
136,3fv2,8.11,5.595458030700684
137,3g0w,9.52,7.261351108551025
138,3g2n,4.09,5.482048511505127
139,3g2z,2.36,3.6525540351867676
140,3g31,2.89,5.538707733154297
141,3gbb,6.9,6.403318881988525
142,3gc5,7.26,7.2209978103637695
143,3ge7,8.7,8.217310905456543
144,3gnw,9.1,8.29588508605957
145,3gr2,2.52,3.0022120475769043
146,3gv9,2.12,5.217569351196289
147,3gy4,5.1,4.281570911407471
148,3ivg,4.3,5.5202789306640625
149,3jvr,5.72,8.486000061035156
150,3jvs,6.54,6.89186954498291
151,3jya,6.89,5.556084156036377
152,3k5v,6.3,7.293799877166748
153,3kgp,2.57,5.106925010681152
154,3kr8,8.1,7.104777812957764
155,3kwa,4.08,4.512890815734863
156,3l7b,2.4,4.724738597869873
157,3lka,2.82,4.112242698669434
158,3mss,4.66,6.517296314239502
159,3myg,10.7,7.621600151062012
160,3n76,6.85,7.252041816711426
161,3n7a,3.7,3.1656150817871094
162,3n86,5.64,8.274765968322754
163,3nq9,4.03,4.549945831298828
164,3nw9,9.0,7.757831573486328
165,3nx7,8.1,5.669224739074707
166,3o9i,11.82,10.083231925964355
167,3oe4,7.47,6.783570289611816
168,3oe5,6.88,5.9979987144470215
169,3ozs,5.33,6.962003707885742
170,3ozt,4.13,6.219386100769043
171,3p5o,7.26,8.077394485473633
172,3prs,7.82,8.020164489746094
173,3pww,7.32,6.993738174438477
174,3pxf,4.43,4.8364338874816895
175,3pyy,6.86,7.0484771728515625
176,3qgy,7.8,7.381924629211426
177,3qqs,5.82,4.762650012969971
178,3r88,4.82,5.163013935089111
179,3rlr,7.52,8.017362594604492
180,3rr4,4.55,6.783114433288574
181,3rsx,4.41,4.283122539520264
182,3ryj,7.8,7.30422306060791
183,3syr,5.1,4.767640590667725
184,3tsk,7.17,8.35860824584961
185,3twp,3.92,5.162008285522461
186,3u5j,5.61,7.410858154296875
187,3u8k,8.66,5.343840599060059
188,3u8n,10.17,5.880586624145508
189,3u9q,4.38,4.954788684844971
190,3udh,2.85,6.198545455932617
191,3ueu,5.24,4.894781112670898
192,3uev,5.89,5.302000522613525
193,3uew,6.31,5.478072643280029
194,3uex,6.92,5.7037353515625
195,3ui7,9.0,6.81923246383667
196,3uo4,6.52,7.465986251831055
197,3up2,7.4,7.4134721755981445
198,3uri,9.0,6.691565036773682
199,3utu,10.92,7.921550750732422
200,3uuo,7.96,6.732573986053467
201,3wtj,6.53,6.374968528747559
202,3wz8,5.82,7.129281044006348
203,3zdg,7.1,4.043008327484131
204,3zso,5.12,7.533998012542725
205,3zsx,3.28,5.478211879730225
206,3zt2,2.84,6.713788986206055
207,4abg,3.57,5.937070846557617
208,4agn,3.97,6.4145355224609375
209,4agp,4.69,7.214504241943359
210,4agq,5.01,7.478421211242676
211,4bkt,3.62,4.648538589477539
212,4cig,3.67,5.892421245574951
213,4ciw,4.82,3.8466241359710693
214,4cr9,4.1,4.380842685699463
215,4cra,7.22,8.115610122680664
216,4crc,8.72,7.996328830718994
217,4ddh,3.3,4.1557159423828125
218,4ddk,2.29,4.62589168548584
219,4de1,5.96,7.211731910705566
220,4de2,4.12,7.098862171173096
221,4de3,5.52,7.084228992462158
222,4djv,6.72,6.190299034118652
223,4dld,5.82,6.7423505783081055
224,4dli,5.62,5.924023628234863
225,4e5w,7.66,7.872223854064941
226,4e6q,8.36,5.6873626708984375
227,4ea2,6.44,7.679353713989258
228,4eky,3.52,4.863584995269775
229,4eo8,8.15,7.571307182312012
230,4eor,6.3,6.8656415939331055
231,4f09,6.7,7.223328113555908
232,4f2w,11.3,9.417363166809082
233,4f3c,11.82,8.460118293762207
234,4f9w,6.94,7.346948623657227
235,4gfm,7.22,6.710818290710449
236,4gid,10.77,6.521780490875244
237,4gkm,5.17,5.4358367919921875
238,4gr0,9.55,7.730046272277832
239,4hge,7.92,7.060181617736816
240,4ih5,4.11,5.215744495391846
241,4ih7,5.24,5.851179122924805
242,4ivb,8.72,7.1666259765625
243,4ivc,10.0,7.489919185638428
244,4ivd,9.52,7.718011379241943
245,4j21,7.41,6.88765811920166
246,4j28,5.7,5.962311267852783
247,4j3l,7.8,6.045699119567871
248,4jfs,5.27,4.829739570617676
249,4jia,9.22,8.214256286621094
250,4jsz,2.3,4.080491065979004
251,4jxs,4.74,5.659555912017822
252,4k18,8.96,8.031279563903809
253,4k77,6.63,7.079659461975098
254,4kz6,3.1,5.264669418334961
255,4kzq,6.1,7.140252113342285
256,4kzu,6.5,6.757841110229492
257,4llx,2.89,4.463645935058594
258,4lzs,4.8,5.0802106857299805
259,4m0y,6.46,6.869954586029053
260,4m0z,5.19,6.594130516052246
261,4mgd,4.69,5.175358772277832
262,4mme,6.5,5.843066215515137
263,4ogj,6.79,7.266144752502441
264,4owm,2.96,4.113977432250977
265,4pcs,7.85,4.291613578796387
266,4qac,9.4,7.991786956787109
267,4qd6,8.64,7.573742866516113
268,4rfm,10.05,7.870034217834473
269,4tmn,10.17,8.367234230041504
270,4twp,10.0,8.421396255493164
271,4ty7,9.52,8.185332298278809
272,4u4s,2.92,4.796115398406982
273,4w9c,4.65,6.496792316436768
274,4w9h,6.73,7.3873724937438965
