pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.14311408996582, 4.934386730194092, 5.8384246826171875, 5.60186767578125, 5.450643539428711, 4.869332790374756, 5.137906074523926, 5.675413608551025, 5.144173622131348, 5.0675883293151855]",5.29
1qkt,9.04,"[7.467254638671875, 7.19378662109375, 6.70706844329834, 7.263602256774902, 6.90796422958374, 7.394255638122559, 6.934157371520996, 7.562203884124756, 7.438756465911865, 7.449934005737305]",7.23
1syi,5.44,"[6.383151531219482, 5.871050834655762, 5.6417460441589355, 6.300089359283447, 5.525022506713867, 5.485891342163086, 5.778140068054199, 6.127347469329834, 5.912336349487305, 5.8927412033081055]",5.89
1y6r,10.11,"[6.663627624511719, 6.97818660736084, 6.782842636108398, 6.668323516845703, 6.873708724975586, 6.900518894195557, 6.785960674285889, 6.729943752288818, 7.022716522216797, 6.882940292358398]",6.83
1yc1,6.17,"[6.197457790374756, 6.508787631988525, 6.209169387817383, 6.123682975769043, 5.977251052856445, 6.605779647827148, 6.467315673828125, 6.2734479904174805, 6.557147979736328, 6.306619167327881]",6.32
2v00,3.66,"[4.750284194946289, 4.6692352294921875, 5.173478603363037, 5.4615068435668945, 5.0842437744140625, 4.464447975158691, 5.286067485809326, 5.007850170135498, 5.314184188842773, 5.579270839691162]",5.08
2vw5,8.52,"[7.323378562927246, 7.515960693359375, 7.61226749420166, 7.296339988708496, 7.686744213104248, 7.639456748962402, 7.116061210632324, 7.340803146362305, 7.705821990966797, 7.36530876159668]",7.46
2wer,7.05,"[5.871217727661133, 5.952969074249268, 6.4374542236328125, 6.046481609344482, 6.227347373962402, 6.246301174163818, 5.997467041015625, 5.89530086517334, 6.239168643951416, 6.090394973754883]",6.1
2wnc,6.32,"[6.444469928741455, 6.497359275817871, 6.172489166259766, 6.589380264282227, 6.3403730392456055, 6.239288806915283, 6.172209739685059, 6.363093376159668, 5.7109055519104, 6.224176406860352]",6.28
2wvt,6.12,"[4.947630405426025, 4.998952865600586, 4.799901008605957, 5.101064682006836, 4.848262310028076, 4.993422508239746, 4.854349136352539, 4.882652282714844, 4.871821880340576, 4.858214855194092]",4.92
2x00,11.33,"[8.390003204345703, 7.773542881011963, 7.619930267333984, 7.937256336212158, 7.978820323944092, 7.8331193923950195, 7.759663105010986, 7.744290828704834, 7.8643107414245605, 7.796876907348633]",7.87
2xb8,7.59,"[5.9179158210754395, 6.182657241821289, 5.7395148277282715, 5.812510013580322, 5.981114864349365, 5.788528919219971, 5.998946189880371, 5.708612442016602, 6.180709362030029, 5.987846374511719]",5.93
2xdl,3.1,"[5.25294828414917, 5.091299057006836, 5.128274917602539, 5.332963466644287, 5.10087251663208, 5.256886005401611, 5.362522125244141, 5.405156135559082, 5.557131290435791, 5.6799211502075195]",5.32
2xii,7.2,"[6.2749223709106445, 6.0804548263549805, 6.245578765869141, 6.678722858428955, 6.524158954620361, 6.166053771972656, 7.054729461669922, 5.915597915649414, 6.1412482261657715, 6.103518009185791]",6.32
2yki,9.46,"[8.877203941345215, 8.606972694396973, 8.559199333190918, 8.467004776000977, 8.161211967468262, 7.978849411010742, 7.891357421875, 8.294356346130371, 8.029326438903809, 8.653860092163086]",8.35
2ymd,3.16,"[5.423315048217773, 5.055764198303223, 5.423266410827637, 5.424727439880371, 4.896390438079834, 5.2731804847717285, 5.242631435394287, 5.350485801696777, 5.184566020965576, 5.328507423400879]",5.26
3aru,3.22,"[5.906187534332275, 5.4994049072265625, 5.21207857131958, 5.403181076049805, 5.4979963302612305, 5.530649185180664, 5.159036636352539, 5.794686317443848, 5.394590377807617, 5.505086421966553]",5.49
3ary,6.0,"[5.280051231384277, 5.643052101135254, 5.377858638763428, 5.507449150085449, 5.087664604187012, 5.5276031494140625, 5.55767822265625, 5.60420560836792, 5.59787654876709, 5.177699089050293]",5.44
3b27,5.16,"[6.188717365264893, 5.450103282928467, 5.775840759277344, 5.660224437713623, 5.776565074920654, 5.957941055297852, 5.7754130363464355, 6.168851375579834, 5.593506813049316, 5.802618026733398]",5.81
3b5r,8.77,"[7.250583648681641, 7.158039093017578, 7.052489280700684, 7.013427257537842, 6.738058090209961, 7.083037376403809, 6.896007537841797, 6.871242523193359, 7.423275947570801, 6.960837364196777]",7.04
3b65,9.27,"[6.876023292541504, 6.558822154998779, 6.544918060302734, 6.4845991134643555, 6.353428363800049, 6.755141735076904, 6.54786491394043, 6.366681098937988, 6.703590393066406, 6.1377997398376465]",6.53
3b68,8.4,"[8.148656845092773, 7.05146598815918, 6.884076118469238, 7.19656229019165, 7.515703201293945, 7.504667282104492, 6.573911666870117, 6.422729015350342, 7.128185272216797, 7.337506294250488]",7.18
3d4z,4.89,"[4.927897930145264, 5.220307350158691, 5.2310333251953125, 5.271538734436035, 5.082477569580078, 5.134596347808838, 4.953171730041504, 5.1323771476745605, 5.173468589782715, 5.205188751220703]",5.13
3d6q,3.76,"[5.810812473297119, 5.410059928894043, 5.49637508392334, 5.600751876831055, 5.261006832122803, 5.973672866821289, 4.381697177886963, 5.71151065826416, 5.546242713928223, 5.580404281616211]",5.48
