pdbid,real,predictions,mean_pred
1p1n,6.8,"[6.081295967102051, 5.201529502868652, 6.116880416870117, 5.855813026428223, 6.039088249206543, 5.1682233810424805, 5.309465408325195, 5.7580060958862305, 5.520254135131836, 5.27412223815918]",5.63
1qkt,9.04,"[6.711337089538574, 6.690732955932617, 6.755126953125, 6.854718208312988, 6.772882461547852, 6.7201433181762695, 6.748815536499023, 6.7463579177856445, 6.693547248840332, 6.7911787033081055]",6.75
1syi,5.44,"[6.08591365814209, 6.121576309204102, 6.092023849487305, 6.129606246948242, 6.04805850982666, 5.908438682556152, 6.0609283447265625, 6.187685966491699, 6.192609786987305, 6.017763137817383]",6.08
1y6r,10.11,"[6.4445695877075195, 6.528273582458496, 6.304621696472168, 6.649374961853027, 6.579669952392578, 6.58711051940918, 6.515490531921387, 6.500033378601074, 6.66032600402832, 6.724037170410156]",6.55
1yc1,6.17,"[6.795560836791992, 6.888737678527832, 6.643500328063965, 6.895646095275879, 7.017475128173828, 6.866824150085449, 6.949618339538574, 6.809842109680176, 6.953434944152832, 6.802053451538086]",6.86
2v00,3.66,"[5.740139961242676, 5.6668195724487305, 6.054380416870117, 5.642050743103027, 5.9536285400390625, 5.77939510345459, 5.949858665466309, 5.970157623291016, 5.790071487426758, 5.908329963684082]",5.85
2vw5,8.52,"[8.262713432312012, 8.214418411254883, 8.019699096679688, 8.224283218383789, 8.149069786071777, 8.021099090576172, 8.328203201293945, 8.281584739685059, 8.047242164611816, 8.176450729370117]",8.17
2wer,7.05,"[6.809974670410156, 6.589973449707031, 6.847511291503906, 6.858903884887695, 6.772801399230957, 6.852200508117676, 6.876673698425293, 6.819159507751465, 6.9723968505859375, 6.744265556335449]",6.81
2wnc,6.32,"[6.599278450012207, 6.7831926345825195, 6.713019371032715, 6.584707260131836, 6.534940719604492, 6.568726539611816, 6.627636909484863, 6.670083045959473, 6.326605796813965, 6.607596397399902]",6.6
2wvt,6.12,"[4.702486991882324, 4.706027030944824, 4.722228050231934, 4.784180641174316, 4.710871696472168, 4.708717346191406, 4.734845161437988, 4.743261337280273, 4.716022491455078, 4.72580623626709]",4.73
2x00,11.33,"[8.599264144897461, 8.507052421569824, 8.550406455993652, 8.558489799499512, 8.504963874816895, 8.531440734863281, 8.559601783752441, 8.536094665527344, 8.38625431060791, 8.589231491088867]",8.53
2xb8,7.59,"[6.059870719909668, 6.006696701049805, 6.096097946166992, 6.070334434509277, 6.2014665603637695, 6.348165512084961, 6.21890926361084, 6.24128532409668, 6.550804138183594, 5.994826316833496]",6.18
2xdl,3.1,"[5.67362117767334, 5.729498863220215, 5.74398136138916, 5.631695747375488, 5.707697868347168, 5.685357093811035, 5.787481307983398, 5.574780464172363, 5.572938919067383, 5.666260719299316]",5.68
2xii,7.2,"[7.427337646484375, 7.458041191101074, 7.603854179382324, 7.610223770141602, 7.512027740478516, 7.612277030944824, 7.72745418548584, 7.444241523742676, 7.58863639831543, 7.492342948913574]",7.55
2yki,9.46,"[8.474766731262207, 8.592023849487305, 8.553764343261719, 8.50564193725586, 8.514955520629883, 8.59313678741455, 8.604938507080078, 8.530569076538086, 8.627474784851074, 8.566827774047852]",8.56
2ymd,3.16,"[5.669573783874512, 5.343132972717285, 5.548644065856934, 5.577750205993652, 5.488236427307129, 5.649213790893555, 5.426139831542969, 5.6374006271362305, 5.581576347351074, 5.638907432556152]",5.56
3aru,3.22,"[6.507301330566406, 5.475793838500977, 6.235738754272461, 6.481656074523926, 5.902078628540039, 6.306258201599121, 6.061983108520508, 6.225388526916504, 6.1560516357421875, 6.214484214782715]",6.16
3ary,6.0,"[4.904897689819336, 6.208263397216797, 5.02485466003418, 5.581158638000488, 3.786930799484253, 5.8105573654174805, 5.640321731567383, 5.610910415649414, 6.138720512390137, 5.286873817443848]",5.4
3b27,5.16,"[6.252873420715332, 6.0959882736206055, 6.242674827575684, 5.961539268493652, 5.952374458312988, 6.292106628417969, 6.015532493591309, 6.2198333740234375, 6.086002349853516, 6.2220001220703125]",6.13
3b5r,8.77,"[8.196043968200684, 8.30954647064209, 8.117945671081543, 8.28437328338623, 8.242230415344238, 8.04345703125, 8.337093353271484, 8.11696720123291, 8.228527069091797, 8.207063674926758]",8.21
3b65,9.27,"[7.557381629943848, 7.685833930969238, 7.975645065307617, 7.83449649810791, 7.644335746765137, 7.909431457519531, 7.803088188171387, 7.776866912841797, 7.601448059082031, 7.638556480407715]",7.74
3b68,8.4,"[8.364290237426758, 8.164267539978027, 8.25080680847168, 8.209528923034668, 8.261167526245117, 8.250571250915527, 8.314167022705078, 8.289793014526367, 8.12396240234375, 8.352022171020508]",8.26
3d4z,4.89,"[4.595261573791504, 4.545899391174316, 4.594101905822754, 4.560242652893066, 4.626635551452637, 4.68564510345459, 4.462281227111816, 4.5619707107543945, 4.575060844421387, 4.7000322341918945]",4.59
3d6q,3.76,"[6.179622650146484, 6.341053009033203, 6.24061393737793, 6.094449996948242, 6.320152282714844, 5.815509796142578, 6.0258026123046875, 6.003600120544434, 6.025301933288574, 6.172276496887207]",6.12
3dx1,3.58,"[4.255255222320557, 4.320497512817383, 4.330487251281738, 4.352225303649902, 4.226468086242676, 4.2422027587890625, 4.420520305633545, 4.286218643188477, 4.363364219665527, 4.430165767669678]",4.32
3dx2,6.82,"[4.976613998413086, 4.936788558959961, 4.96456241607666, 4.99083137512207, 4.953204154968262, 5.011333465576172, 4.925092697143555, 5.064174652099609, 5.031633377075195, 5.030302047729492]",4.99
3dxg,2.4,"[4.771200180053711, 4.856438636779785, 4.883119583129883, 4.826897621154785, 4.936141014099121, 5.018283843994141, 4.9857988357543945, 4.940890312194824, 5.103153228759766, 4.964855194091797]",4.93
3ehy,5.85,"[5.723280906677246, 5.713567733764648, 5.754355430603027, 5.509740829467773, 5.621636390686035, 5.616819381713867, 5.985525131225586, 5.663663864135742, 5.578065872192383, 5.675807952880859]",5.68
3ejr,8.57,"[7.513684272766113, 7.723939895629883, 7.568380355834961, 7.421280860900879, 7.520601272583008, 7.730072975158691, 7.520413398742676, 7.612844467163086, 7.685937881469727, 7.734474182128906]",7.6
3fcq,2.77,"[4.40349817276001, 4.581595420837402, 4.5465593338012695, 4.717339515686035, 4.6470537185668945, 4.55716609954834, 4.384137153625488, 4.482654571533203, 4.306766033172607, 4.538452625274658]",4.52
3g0w,9.52,"[7.980355262756348, 7.790604591369629, 7.821724891662598, 7.957725524902344, 7.80961799621582, 7.784651756286621, 8.048571586608887, 7.90498161315918, 7.795230865478516, 7.784345626831055]",7.87
3gbb,6.9,"[5.880125999450684, 6.0045366287231445, 5.943788528442383, 5.955955505371094, 5.938962936401367, 5.904827117919922, 5.9553728103637695, 5.892693519592285, 5.93753719329834, 5.820021629333496]",5.92
3gr2,2.52,"[4.99615478515625, 5.060757637023926, 4.997252464294434, 4.831744194030762, 5.137738227844238, 5.050159454345703, 5.321613311767578, 5.115237236022949, 5.2266082763671875, 5.051443099975586]",5.08
3gv9,2.12,"[4.586087226867676, 4.523983955383301, 4.621683120727539, 4.594285011291504, 4.628369331359863, 4.542690277099609, 4.591663360595703, 4.5855865478515625, 4.680019378662109, 4.594818115234375]",4.59
