pdbid,real,predictions,mean_pred
1p1n,6.8,"[5.075171947479248, 4.847982883453369, 5.398256301879883, 5.431760787963867, 5.335278034210205, 5.064419269561768, 4.86610221862793, 5.466793060302734, 5.335917949676514, 5.0608344078063965]",5.19
1qkt,9.04,"[7.583265781402588, 7.5465779304504395, 7.630555629730225, 7.560966491699219, 7.583076000213623, 7.510985374450684, 7.620003700256348, 7.466248512268066, 7.664102077484131, 7.533350944519043]",7.57
1syi,5.44,"[6.163993835449219, 6.253517150878906, 6.204442977905273, 6.255799770355225, 6.216269016265869, 6.33803129196167, 6.137091636657715, 6.380004405975342, 6.551336288452148, 6.237217903137207]",6.27
1y6r,10.11,"[7.590540409088135, 7.664407253265381, 7.624622344970703, 7.661715507507324, 7.582493782043457, 7.557404518127441, 7.640564918518066, 7.6049323081970215, 7.66698694229126, 7.676680564880371]",7.63
1yc1,6.17,"[7.664770603179932, 7.627012729644775, 7.559633255004883, 7.595044136047363, 7.668170928955078, 7.58333683013916, 7.593514442443848, 7.605339050292969, 7.563080787658691, 7.555360794067383]",7.6
2v00,3.66,"[4.998414516448975, 5.21965217590332, 5.236278533935547, 5.047474384307861, 5.080778121948242, 5.0137739181518555, 4.956763744354248, 4.766655445098877, 4.928806304931641, 4.915806293487549]",5.02
2vw5,8.52,"[7.742443561553955, 7.668318271636963, 7.564929008483887, 7.670815944671631, 7.688406467437744, 7.739856719970703, 7.7495880126953125, 7.698262691497803, 7.720681667327881, 7.68111515045166]",7.69
2wer,7.05,"[7.277114391326904, 7.4266533851623535, 7.428408622741699, 7.48936128616333, 7.3069167137146, 7.335681438446045, 7.1676177978515625, 7.41012716293335, 7.45677375793457, 7.273437976837158]",7.36
2wnc,6.32,"[7.0211181640625, 7.0086989402771, 6.960055351257324, 7.101900577545166, 6.937600612640381, 6.966835975646973, 6.953843116760254, 6.988949775695801, 6.895183086395264, 6.873800277709961]",6.97
2wvt,6.12,"[5.930961608886719, 5.873913288116455, 5.887984752655029, 5.910942554473877, 6.068458080291748, 5.8936848640441895, 5.817910671234131, 5.915304183959961, 6.01242208480835, 5.789567470550537]",5.91
2x00,11.33,"[7.674277305603027, 7.58554744720459, 7.672443866729736, 7.530623912811279, 7.668972969055176, 7.566651344299316, 7.593034744262695, 7.5832977294921875, 7.534929275512695, 7.6679253578186035]",7.61
2xb8,7.59,"[7.44321346282959, 7.358354091644287, 7.453567028045654, 7.332815170288086, 7.358932971954346, 7.422028541564941, 7.3232035636901855, 7.408512115478516, 7.36359977722168, 7.333400249481201]",7.38
2xdl,3.1,"[6.15972375869751, 6.106447696685791, 6.293725490570068, 6.275878429412842, 6.212741851806641, 6.232501029968262, 6.107871055603027, 6.246126651763916, 6.337700366973877, 6.284428596496582]",6.23
2xii,7.2,"[7.282654285430908, 7.152334213256836, 7.2701849937438965, 6.904806137084961, 7.34462308883667, 7.236496925354004, 7.090240001678467, 7.32902717590332, 7.2136030197143555, 7.2813191413879395]",7.21
2yki,9.46,"[7.8409271240234375, 7.8249921798706055, 7.808145046234131, 7.84604549407959, 7.82918119430542, 7.823426246643066, 7.818943500518799, 7.82269811630249, 7.776576042175293, 7.8187575340271]",7.82
2ymd,3.16,"[6.064766883850098, 6.18373966217041, 6.37775182723999, 6.1637396812438965, 6.201563358306885, 6.256507873535156, 6.149947166442871, 6.318918704986572, 6.1934285163879395, 6.216719627380371]",6.21
3aru,3.22,"[5.262713432312012, 5.075740814208984, 5.248688697814941, 5.210671424865723, 5.081981658935547, 5.128969669342041, 5.208540916442871, 5.022219181060791, 5.286072731018066, 5.183645248413086]",5.17
3ary,6.0,"[5.136573791503906, 4.90458345413208, 5.01525354385376, 4.961296558380127, 5.2950310707092285, 4.947696208953857, 4.929397106170654, 4.877499580383301, 4.926333427429199, 5.122576713562012]",5.01
3b27,5.16,"[7.169304370880127, 7.169025421142578, 7.228029251098633, 7.197725296020508, 6.9146833419799805, 7.106359958648682, 7.103958606719971, 7.066385269165039, 7.099410057067871, 7.084785461425781]",7.11
3b5r,8.77,"[7.807934284210205, 7.796093463897705, 7.801582336425781, 7.786252021789551, 7.812564849853516, 7.789050579071045, 7.791891574859619, 7.799919128417969, 7.80618143081665, 7.799214839935303]",7.8
3b65,9.27,"[7.700465679168701, 7.690846920013428, 7.719066143035889, 7.621330261230469, 7.712360858917236, 7.63248348236084, 7.690169811248779, 7.702456951141357, 7.714714527130127, 7.699989318847656]",7.69
3b68,8.4,"[7.802168846130371, 7.795243263244629, 7.811616897583008, 7.81908655166626, 7.7906718254089355, 7.8039727210998535, 7.786452770233154, 7.78909969329834, 7.783497333526611, 7.783804893493652]",7.8
3d4z,4.89,"[5.46820592880249, 5.309196949005127, 5.20385217666626, 5.34381103515625, 5.401962757110596, 5.262267589569092, 5.3711981773376465, 5.284943103790283, 5.249693870544434, 5.3419270515441895]",5.32
3d6q,3.76,"[5.09563684463501, 5.114005088806152, 5.092419624328613, 4.9580159187316895, 4.961063385009766, 4.776942253112793, 4.7736334800720215, 4.849122524261475, 4.703271865844727, 4.974904537200928]",4.93
