pdbid,real,predictions,mean_pred
1p1n,6.8,"[4.939558982849121, 4.950886249542236, 5.0966057777404785, 5.2719011306762695, 4.995953559875488, 5.112184047698975, 5.139758586883545, 5.2688493728637695, 5.264137268066406, 5.114223957061768]",5.12
1qkt,9.04,"[7.367130756378174, 7.497359275817871, 7.389549732208252, 7.373745441436768, 7.333916664123535, 7.366549491882324, 7.5340256690979, 7.349831581115723, 7.467476844787598, 7.427176475524902]",7.41
1syi,5.44,"[5.927474021911621, 5.9918012619018555, 6.016301155090332, 6.018159866333008, 6.048551559448242, 5.932275295257568, 6.031411647796631, 6.14343786239624, 6.295626640319824, 6.02010440826416]",6.04
1y6r,10.11,"[7.257967948913574, 7.476204872131348, 7.409857749938965, 7.406989097595215, 7.289271831512451, 7.403400897979736, 7.294785976409912, 7.317432403564453, 7.417934894561768, 7.3308796882629395]",7.36
1yc1,6.17,"[7.491283416748047, 7.45590877532959, 7.37412166595459, 7.33516788482666, 7.325419902801514, 7.401949405670166, 7.3673601150512695, 7.3954010009765625, 7.4505157470703125, 7.538773536682129]",7.41
2v00,3.66,"[5.069767951965332, 5.264908790588379, 5.083174228668213, 5.122256755828857, 5.101764678955078, 5.1846113204956055, 4.9566240310668945, 4.94541072845459, 5.109597206115723, 4.977388858795166]",5.08
2vw5,8.52,"[7.467597484588623, 7.537248611450195, 7.441348552703857, 7.3992600440979, 7.4026007652282715, 7.52841329574585, 7.43782901763916, 7.435685157775879, 7.520102500915527, 7.5204267501831055]",7.47
2wer,7.05,"[6.948959827423096, 6.966383457183838, 6.997613906860352, 7.001613616943359, 7.085233688354492, 6.908602714538574, 7.076507091522217, 7.01519775390625, 7.046305179595947, 6.930694580078125]",7.0
2wnc,6.32,"[6.3127641677856445, 6.3116607666015625, 6.322922229766846, 6.486848831176758, 6.539761066436768, 6.36948299407959, 6.433163166046143, 6.32899808883667, 6.308302879333496, 6.395357608795166]",6.38
2wvt,6.12,"[5.702375411987305, 5.518232822418213, 5.574719429016113, 5.537229061126709, 5.546967506408691, 5.446686267852783, 5.49565315246582, 5.565271377563477, 5.564661026000977, 5.543346405029297]",5.55
2x00,11.33,"[7.568694591522217, 7.569426536560059, 7.6420674324035645, 7.493355751037598, 7.6161699295043945, 7.614719390869141, 7.592336177825928, 7.477624893188477, 7.442075252532959, 7.48292875289917]",7.55
2xb8,7.59,"[6.96461296081543, 6.970008373260498, 6.9657158851623535, 6.916228294372559, 6.886232376098633, 6.914390563964844, 7.017544746398926, 6.943241596221924, 6.885500431060791, 7.002115249633789]",6.95
2xdl,3.1,"[6.095693588256836, 6.032449722290039, 6.295004367828369, 6.155564308166504, 6.212759017944336, 6.119576930999756, 6.069846153259277, 6.150694370269775, 6.231597900390625, 6.2005414962768555]",6.16
2xii,7.2,"[6.657727241516113, 6.757735252380371, 6.710075378417969, 6.7765913009643555, 6.715267181396484, 6.844696044921875, 6.827767372131348, 6.797189712524414, 6.739043712615967, 6.88777494430542]",6.77
2yki,9.46,"[7.727173805236816, 7.636484146118164, 7.620242118835449, 7.639910697937012, 7.63392972946167, 7.608880043029785, 7.611222743988037, 7.760951995849609, 7.676506519317627, 7.73422384262085]",7.66
2ymd,3.16,"[6.080644607543945, 6.242875099182129, 6.318285942077637, 6.35280704498291, 6.225783824920654, 6.287879943847656, 6.292138576507568, 6.260750770568848, 6.216714859008789, 6.3761115074157715]",6.27
3aru,3.22,"[5.240267276763916, 5.1764397621154785, 5.132590293884277, 5.140258312225342, 5.114358425140381, 5.041983127593994, 5.052529811859131, 4.99578857421875, 5.1533098220825195, 5.131503582000732]",5.12
3ary,6.0,"[5.41505241394043, 5.256644248962402, 5.282735347747803, 5.494084358215332, 5.757014274597168, 5.2856926918029785, 5.362088203430176, 5.2705254554748535, 5.2920918464660645, 5.495803356170654]",5.39
3b27,5.16,"[6.6706929206848145, 6.850436210632324, 6.544849395751953, 6.6208319664001465, 6.6851887702941895, 6.595744609832764, 6.572322845458984, 6.664409160614014, 6.617379665374756, 6.605373859405518]",6.64
3b5r,8.77,"[7.516345024108887, 7.551004886627197, 7.566964149475098, 7.709671497344971, 7.699851036071777, 7.542408466339111, 7.7164177894592285, 7.636627197265625, 7.602662563323975, 7.553548336029053]",7.61
3b65,9.27,"[7.435291290283203, 7.449927806854248, 7.518867492675781, 7.398579120635986, 7.457001209259033, 7.391899108886719, 7.468747615814209, 7.51902437210083, 7.425243854522705, 7.368303298950195]",7.44
3b68,8.4,"[7.68391227722168, 7.694299221038818, 7.553771018981934, 7.516580581665039, 7.580749988555908, 7.683270454406738, 7.549528121948242, 7.607887268066406, 7.6461687088012695, 7.6773271560668945]",7.62
3d4z,4.89,"[5.15995979309082, 5.165625095367432, 5.173036098480225, 5.28468656539917, 5.196480751037598, 5.162447452545166, 5.083408355712891, 5.1498870849609375, 5.241873741149902, 5.200207233428955]",5.18
